sts,src,dest,seqn
841000000.0,21,21,0
841000000.0,19,25,0
841000000.0,13,25,0
842000000.0,26,26,0
842000000.0,15,15,0
842000000.0,23,22,0
842000000.0,12,19,0
842000000.0,24,23,0
842000000.0,22,19,0
842000000.0,18,19,0
842000000.0,20,14,0
842000000.0,11,15,0
842000000.0,14,26,0
842000000.0,26,22,1
842000000.0,14,20,1
842000000.0,19,16,1
842000000.0,21,13,1
842000000.0,20,21,1
842000000.0,18,19,1
842000000.0,17,24,0
842000000.0,23,18,1
842000000.0,22,17,1
842000000.0,25,16,0
842000000.0,12,19,1
842000000.0,16,12,0
842000000.0,24,22,1
842000000.0,15,17,1
842000000.0,11,23,1
842000000.0,14,16,2
842000000.0,22,23,2
843000000.0,12,21,2
843000000.0,18,19,2
843000000.0,15,19,2
843000000.0,17,13,1
843000000.0,16,16,1
843000000.0,13,22,1
843000000.0,19,25,2
843000000.0,11,24,2
843000000.0,24,25,2
843000000.0,18,16,3
843000000.0,20,15,2
843000000.0,24,17,3
843000000.0,14,26,3
843000000.0,25,16,1
843000000.0,17,18,2
843000000.0,23,22,2
843000000.0,11,13,3
843000000.0,12,25,3
843000000.0,13,21,2
843000000.0,21,22,2
843000000.0,26,14,2
843000000.0,22,13,3
843000000.0,21,19,3
843000000.0,24,16,4
844000000.0,13,26,3
844000000.0,26,20,3
844000000.0,19,21,3
844000000.0,16,20,2
844000000.0,20,19,3
844000000.0,18,22,4
844000000.0,23,23,3
844000000.0,18,13,5
844000000.0,21,12,4
844000000.0,15,20,3
844000000.0,17,22,3
844000000.0,23,19,4
844000000.0,16,21,3
844000000.0,14,15,4
844000000.0,24,24,5
844000000.0,26,17,4
844000000.0,13,12,4
844000000.0,25,16,2
844000000.0,11,22,4
844000000.0,19,17,4
844000000.0,20,23,4
844000000.0,12,26,4
844000000.0,24,26,6
844000000.0,15,19,4
845000000.0,20,24,5
845000000.0,14,22,5
845000000.0,17,17,4
845000000.0,22,23,4
845000000.0,25,21,3
845000000.0,13,24,5
845000000.0,26,18,5
845000000.0,12,16,5
845000000.0,21,25,5
845000000.0,16,25,4
845000000.0,15,26,5
845000000.0,24,20,7
845000000.0,21,13,6
845000000.0,13,14,6
845000000.0,19,22,5
845000000.0,23,18,5
845000000.0,26,20,6
845000000.0,17,13,5
845000000.0,18,19,6
845000000.0,12,12,6
845000000.0,11,13,5
845000000.0,22,15,5
845000000.0,14,20,6
845000000.0,14,26,7
845000000.0,18,12,7
846000000.0,22,20,6
846000000.0,23,22,6
846000000.0,15,20,6
846000000.0,24,14,8
846000000.0,26,26,7
846000000.0,16,13,5
846000000.0,25,18,4
846000000.0,19,20,6
846000000.0,13,18,7
846000000.0,11,16,6
846000000.0,21,15,7
846000000.0,26,21,8
846000000.0,22,22,7
846000000.0,18,12,8
846000000.0,16,24,6
846000000.0,12,23,7
846000000.0,24,24,9
846000000.0,13,17,8
846000000.0,16,22,7
847000000.0,21,12,8
847000000.0,20,17,6
847000000.0,18,24,9
847000000.0,19,23,7
847000000.0,25,17,5
847000000.0,26,24,9
847000000.0,24,22,10
847000000.0,23,13,7
847000000.0,11,13,7
847000000.0,17,24,6
847000000.0,11,24,8
847000000.0,26,20,10
847000000.0,16,26,8
847000000.0,19,18,8
847000000.0,20,23,7
847000000.0,13,23,9
847000000.0,23,12,8
847000000.0,17,18,7
847000000.0,24,18,11
847000000.0,25,26,6
847000000.0,22,23,8
847000000.0,14,17,8
847000000.0,24,19,12
847000000.0,15,17,7
847000000.0,18,16,10
848000000.0,19,19,9
848000000.0,16,21,9
848000000.0,13,16,10
848000000.0,26,22,11
848000000.0,23,16,9
848000000.0,22,24,9
848000000.0,11,14,9
848000000.0,12,12,8
848000000.0,13,15,11
848000000.0,26,14,12
848000000.0,15,16,8
848000000.0,19,22,10
848000000.0,20,17,8
848000000.0,22,13,10
848000000.0,23,17,10
848000000.0,25,24,7
848000000.0,24,25,13
848000000.0,20,20,9
848000000.0,12,20,9
848000000.0,16,21,10
849000000.0,11,18,10
849000000.0,26,22,13
849000000.0,24,21,14
849000000.0,22,23,11
849000000.0,25,14,8
849000000.0,13,19,12
849000000.0,23,20,11
849000000.0,17,12,8
849000000.0,17,21,9
849000000.0,18,18,11
849000000.0,21,13,9
849000000.0,25,17,9
849000000.0,22,12,12
849000000.0,14,24,9
849000000.0,16,14,11
849000000.0,11,22,11
849000000.0,15,24,9
849000000.0,26,21,14
849000000.0,12,24,10
849000000.0,13,19,13
849000000.0,20,19,10
849000000.0,21,21,10
849000000.0,16,17,12
849000000.0,24,22,15
850000000.0,20,25,11
850000000.0,26,26,15
850000000.0,17,22,10
850000000.0,25,22,10
850000000.0,18,20,12
850000000.0,15,16,10
850000000.0,12,12,11
850000000.0,22,12,13
850000000.0,11,12,12
850000000.0,23,23,12
850000000.0,24,19,16
850000000.0,21,16,11
850000000.0,17,26,11
850000000.0,13,22,14
850000000.0,15,12,11
850000000.0,11,22,13
850000000.0,16,21,13
850000000.0,18,21,13
850000000.0,26,15,16
850000000.0,12,26,12
850000000.0,11,26,14
850000000.0,17,23,12
851000000.0,22,24,14
851000000.0,21,14,12
851000000.0,16,16,14
851000000.0,25,25,11
851000000.0,18,13,14
851000000.0,24,26,17
851000000.0,20,23,12
851000000.0,15,16,12
851000000.0,23,25,13
851000000.0,13,12,15
851000000.0,19,25,11
851000000.0,12,23,13
851000000.0,19,22,12
851000000.0,21,24,13
851000000.0,23,13,14
851000000.0,25,12,12
851000000.0,15,21,13
851000000.0,20,20,13
851000000.0,18,12,15
851000000.0,22,26,15
851000000.0,26,17,17
851000000.0,24,20,18
851000000.0,11,14,15
851000000.0,24,19,19
851000000.0,17,22,13
851000000.0,11,18,16
851000000.0,16,15,15
852000000.0,21,19,14
852000000.0,19,22,13
852000000.0,20,12,14
852000000.0,25,19,13
852000000.0,12,14,14
852000000.0,15,14,14
852000000.0,22,12,16
852000000.0,26,26,18
852000000.0,14,25,10
852000000.0,23,18,15
852000000.0,18,23,16
852000000.0,12,18,15
852000000.0,26,26,19
852000000.0,15,23,15
852000000.0,17,26,14
852000000.0,24,20,20
852000000.0,21,18,15
852000000.0,22,24,17
852000000.0,19,22,14
852000000.0,16,21,16
852000000.0,20,12,15
852000000.0,14,19,11
852000000.0,25,18,14
852000000.0,11,23,17
852000000.0,19,17,15
852000000.0,11,18,18
852000000.0,14,14,12
852000000.0,24,14,21
853000000.0,18,19,17
853000000.0,16,14,17
853000000.0,13,25,16
853000000.0,26,25,20
853000000.0,22,16,18
853000000.0,23,19,16
853000000.0,12,21,16
853000000.0,25,18,15
853000000.0,15,20,16
853000000.0,26,20,21
853000000.0,20,23,16
853000000.0,17,15,15
853000000.0,12,18,17
853000000.0,19,13,16
853000000.0,24,22,22
853000000.0,22,23,19
853000000.0,23,19,17
853000000.0,16,26,18
853000000.0,12,20,18
854000000.0,14,20,13
854000000.0,21,26,16
854000000.0,20,15,17
854000000.0,15,12,17
854000000.0,24,17,23
854000000.0,26,20,22
854000000.0,13,21,17
854000000.0,22,20,20
854000000.0,19,16,17
854000000.0,18,14,18
854000000.0,17,17,16
854000000.0,14,25,14
854000000.0,13,15,18
854000000.0,22,25,21
854000000.0,26,21,23
854000000.0,11,17,19
854000000.0,21,25,17
854000000.0,12,16,19
854000000.0,25,17,16
854000000.0,15,19,18
854000000.0,16,24,19
854000000.0,26,17,24
855000000.0,14,15,15
855000000.0,11,13,20
855000000.0,23,24,18
855000000.0,24,17,24
855000000.0,13,15,19
855000000.0,22,12,22
855000000.0,21,17,18
855000000.0,20,23,18
855000000.0,17,25,17
855000000.0,18,21,19
855000000.0,24,24,25
855000000.0,19,13,18
855000000.0,13,20,20
855000000.0,20,15,19
855000000.0,15,12,19
855000000.0,26,24,25
855000000.0,12,20,20
855000000.0,21,24,19
855000000.0,11,25,21
855000000.0,16,12,20
855000000.0,17,20,18
855000000.0,11,15,22
855000000.0,25,26,17
856000000.0,23,16,19
856000000.0,16,19,21
856000000.0,22,25,23
856000000.0,15,23,20
856000000.0,20,25,20
856000000.0,18,24,20
856000000.0,26,22,26
856000000.0,21,14,20
856000000.0,12,15,21
856000000.0,13,12,21
856000000.0,24,20,26
856000000.0,14,17,16
