rts,src,dest,seqn,hops
881000000.0,19,20,0,1
881000000.0,12,13,0,1
882000000.0,21,14,0,3
882000000.0,17,23,0,4
882000000.0,26,13,0,5
882000000.0,25,17,0,4
882000000.0,20,16,0,2
882000000.0,24,18,0,4
882000000.0,22,23,0,1
882000000.0,18,14,0,2
882000000.0,15,20,0,3
882000000.0,23,22,0,1
882000000.0,16,23,0,7
882000000.0,13,24,0,6
882000000.0,16,14,1,2
882000000.0,25,22,1,1
882000000.0,20,23,1,5
882000000.0,14,17,1,1
882000000.0,11,26,1,5
882000000.0,26,24,1,1
882000000.0,13,13,1,2
882000000.0,22,14,1,4
882000000.0,19,19,1,2
882000000.0,18,26,1,3
882000000.0,15,19,1,3
882000000.0,24,19,1,2
882000000.0,13,15,2,2
882000000.0,19,18,2,1
883000000.0,11,23,2,5
883000000.0,21,19,1,1
883000000.0,18,12,2,2
883000000.0,14,13,2,1
883000000.0,26,19,2,3
883000000.0,12,26,2,6
883000000.0,24,25,2,1
883000000.0,17,14,1,1
883000000.0,20,18,2,1
883000000.0,23,25,1,2
883000000.0,25,19,2,3
883000000.0,16,18,2,4
883000000.0,18,22,3,2
883000000.0,21,19,2,1
883000000.0,12,14,3,2
883000000.0,19,15,3,2
883000000.0,11,25,3,5
883000000.0,17,26,2,5
883000000.0,22,25,2,1
883000000.0,14,20,3,3
883000000.0,17,12,3,1
884000000.0,12,13,4,1
884000000.0,25,24,3,1
884000000.0,11,15,4,1
884000000.0,18,22,4,2
884000000.0,19,12,4,3
884000000.0,26,13,3,5
884000000.0,16,23,3,8
884000000.0,23,26,2,4
884000000.0,20,22,4,3
884000000.0,15,20,3,3
884000000.0,19,22,5,2
884000000.0,11,22,5,5
884000000.0,22,14,4,3
884000000.0,23,24,3,1
884000000.0,12,20,5,3
884000000.0,18,21,5,3
884000000.0,21,17,3,2
884000000.0,15,18,4,3
885000000.0,16,19,4,5
885000000.0,21,22,4,1
885000000.0,22,26,5,1
885000000.0,17,25,4,4
885000000.0,11,26,6,6
885000000.0,20,13,5,2
885000000.0,23,26,4,3
885000000.0,12,13,6,1
885000000.0,25,15,5,5
885000000.0,19,12,6,2
885000000.0,24,26,5,1
885000000.0,26,25,5,1
885000000.0,22,26,6,1
885000000.0,15,14,5,1
885000000.0,20,25,6,5
885000000.0,13,25,3,6
885000000.0,19,14,7,2
885000000.0,12,12,7,2
885000000.0,16,17,5,1
885000000.0,24,12,6,4
886000000.0,17,26,5,4
886000000.0,21,19,6,1
886000000.0,12,17,8,1
886000000.0,23,17,6,4
886000000.0,22,14,7,4
886000000.0,19,22,8,2
886000000.0,15,13,6,1
886000000.0,25,26,6,1
886000000.0,13,18,4,3
886000000.0,11,23,8,5
886000000.0,14,24,5,6
886000000.0,13,12,5,3
886000000.0,20,19,7,1
886000000.0,12,16,9,2
886000000.0,24,20,7,3
886000000.0,17,13,6,2
886000000.0,23,19,7,2
886000000.0,25,16,7,5
886000000.0,22,17,8,3
886000000.0,11,26,9,5
886000000.0,26,25,7,1
886000000.0,21,18,7,1
887000000.0,15,16,7,1
887000000.0,12,23,10,5
887000000.0,14,19,6,1
887000000.0,25,14,8,5
887000000.0,19,19,9,3
887000000.0,17,16,7,1
887000000.0,13,12,6,3
887000000.0,23,16,8,4
887000000.0,16,23,6,5
887000000.0,26,15,8,6
887000000.0,13,17,7,1
887000000.0,26,23,9,2
887000000.0,16,25,7,6
887000000.0,19,12,10,2
887000000.0,12,12,11,3
887000000.0,21,12,8,2
887000000.0,24,23,9,1
887000000.0,18,12,7,2
888000000.0,26,25,10,1
888000000.0,19,23,11,2
888000000.0,16,14,8,2
888000000.0,13,18,8,3
888000000.0,15,25,8,5
888000000.0,23,18,10,4
888000000.0,11,22,10,3
888000000.0,25,13,10,4
888000000.0,22,22,9,2
888000000.0,12,26,12,5
888000000.0,26,20,11,4
888000000.0,11,25,11,6
888000000.0,16,25,9,6
888000000.0,25,23,11,2
888000000.0,17,19,8,2
888000000.0,12,26,13,7
888000000.0,15,18,9,2
888000000.0,13,26,9,7
888000000.0,12,14,14,3
888000000.0,25,26,12,1
888000000.0,19,26,12,4
889000000.0,24,23,10,1
889000000.0,16,13,10,2
889000000.0,22,16,10,3
889000000.0,15,15,10,2
889000000.0,13,15,10,3
889000000.0,23,24,11,1
889000000.0,21,23,9,2
889000000.0,20,14,8,2
889000000.0,18,12,8,2
889000000.0,21,23,10,2
889000000.0,17,16,9,1
889000000.0,15,24,11,6
