sts,src,dest,seqn
921000000.0,26,20,0
921000000.0,27,13,0
921000000.0,3,26,0
921000000.0,33,12,0
921000000.0,30,18,0
922000000.0,23,14,0
922000000.0,36,15,0
922000000.0,10,16,0
922000000.0,28,15,0
922000000.0,13,26,0
922000000.0,24,21,0
922000000.0,31,21,0
922000000.0,14,20,0
922000000.0,21,12,0
922000000.0,34,15,0
922000000.0,8,14,0
922000000.0,19,20,0
922000000.0,2,14,0
922000000.0,29,14,0
922000000.0,6,16,0
922000000.0,4,18,0
922000000.0,32,23,0
922000000.0,16,17,0
922000000.0,25,21,0
922000000.0,1,24,0
922000000.0,14,12,1
922000000.0,3,24,1
922000000.0,24,20,1
922000000.0,11,16,0
922000000.0,20,23,0
922000000.0,26,21,1
922000000.0,1,14,1
922000000.0,6,26,1
922000000.0,25,19,1
922000000.0,19,12,1
922000000.0,16,21,1
922000000.0,9,26,0
922000000.0,4,12,1
922000000.0,34,16,1
922000000.0,2,21,1
922000000.0,30,25,1
922000000.0,7,26,0
922000000.0,12,16,0
922000000.0,15,24,0
922000000.0,8,16,1
922000000.0,32,25,1
922000000.0,22,13,0
922000000.0,28,24,1
922000000.0,21,14,1
922000000.0,29,18,1
922000000.0,18,25,0
922000000.0,36,21,1
922000000.0,31,19,1
922000000.0,17,24,0
922000000.0,33,12,1
922000000.0,23,18,1
922000000.0,12,20,1
922000000.0,18,20,1
922000000.0,7,23,1
923000000.0,30,21,2
923000000.0,34,20,2
923000000.0,17,22,1
923000000.0,15,12,1
923000000.0,9,12,1
923000000.0,27,25,1
923000000.0,20,19,1
923000000.0,32,21,2
923000000.0,3,25,2
923000000.0,4,18,2
923000000.0,2,16,2
923000000.0,16,26,2
923000000.0,28,17,2
923000000.0,1,22,2
923000000.0,6,21,2
923000000.0,36,20,2
923000000.0,25,13,2
923000000.0,19,25,2
923000000.0,29,26,2
923000000.0,35,17,0
923000000.0,26,22,2
923000000.0,10,22,1
923000000.0,24,17,2
923000000.0,13,18,1
923000000.0,21,14,2
923000000.0,28,23,3
923000000.0,27,25,2
923000000.0,15,23,2
923000000.0,9,18,2
923000000.0,11,19,1
923000000.0,31,19,2
923000000.0,23,24,2
923000000.0,25,26,3
923000000.0,32,20,3
923000000.0,33,23,2
923000000.0,12,16,2
923000000.0,19,19,3
923000000.0,17,23,2
923000000.0,14,25,2
923000000.0,4,25,3
923000000.0,36,22,3
923000000.0,2,23,3
923000000.0,18,21,2
923000000.0,13,15,2
923000000.0,7,24,2
923000000.0,30,25,3
923000000.0,19,12,4
923000000.0,34,13,3
924000000.0,24,24,3
924000000.0,26,13,3
924000000.0,22,15,1
924000000.0,6,24,3
924000000.0,36,14,4
924000000.0,4,12,4
924000000.0,10,14,2
924000000.0,11,21,2
924000000.0,25,17,4
924000000.0,27,17,3
924000000.0,20,13,2
924000000.0,9,24,3
924000000.0,18,18,3
924000000.0,15,19,3
924000000.0,35,18,1
924000000.0,14,24,3
924000000.0,23,23,3
924000000.0,29,12,3
924000000.0,28,25,4
924000000.0,2,24,4
924000000.0,31,12,3
924000000.0,32,19,4
924000000.0,33,21,3
924000000.0,29,12,4
924000000.0,6,15,4
924000000.0,35,16,2
924000000.0,12,12,3
924000000.0,24,22,4
924000000.0,8,25,2
924000000.0,34,15,4
924000000.0,7,13,3
924000000.0,31,25,4
924000000.0,33,12,4
924000000.0,13,20,3
924000000.0,15,18,4
924000000.0,18,14,4
924000000.0,26,16,4
924000000.0,19,15,5
924000000.0,32,17,5
924000000.0,16,19,3
924000000.0,10,24,3
924000000.0,28,12,5
924000000.0,20,24,3
924000000.0,36,18,5
924000000.0,9,16,4
924000000.0,25,23,5
924000000.0,25,24,6
924000000.0,22,25,2
924000000.0,30,16,4
924000000.0,9,24,5
925000000.0,33,18,5
925000000.0,20,22,4
925000000.0,21,21,3
925000000.0,17,25,3
925000000.0,35,15,3
925000000.0,15,20,5
925000000.0,28,12,6
925000000.0,1,26,3
925000000.0,3,26,3
925000000.0,19,17,6
925000000.0,6,15,5
925000000.0,18,12,5
925000000.0,32,14,6
925000000.0,11,25,3
925000000.0,26,21,5
925000000.0,24,21,5
925000000.0,34,14,5
925000000.0,31,18,5
925000000.0,13,19,4
925000000.0,10,25,4
925000000.0,19,26,7
925000000.0,17,23,4
925000000.0,22,23,3
925000000.0,8,17,3
925000000.0,36,15,6
925000000.0,12,16,4
925000000.0,29,12,5
925000000.0,23,20,4
925000000.0,31,15,6
925000000.0,13,18,5
925000000.0,26,16,6
925000000.0,1,22,4
925000000.0,28,23,7
925000000.0,15,14,6
925000000.0,18,15,6
925000000.0,32,21,7
925000000.0,25,16,7
925000000.0,2,25,5
925000000.0,21,12,4
925000000.0,24,13,6
925000000.0,14,22,4
925000000.0,16,18,4
925000000.0,11,23,4
925000000.0,22,18,4
925000000.0,32,16,8
925000000.0,17,12,5
925000000.0,7,20,4
925000000.0,16,14,5
925000000.0,31,16,7
925000000.0,29,26,6
925000000.0,15,14,7
925000000.0,33,15,6
926000000.0,1,26,5
926000000.0,28,19,8
926000000.0,23,17,5
926000000.0,2,12,6
926000000.0,26,23,7
926000000.0,36,16,7
926000000.0,25,18,8
926000000.0,10,20,5
926000000.0,21,16,5
926000000.0,24,21,7
926000000.0,30,22,5
926000000.0,19,15,8
926000000.0,18,17,7
926000000.0,27,13,4
926000000.0,11,17,5
926000000.0,13,25,6
926000000.0,4,14,5
926000000.0,14,25,5
926000000.0,34,14,6
926000000.0,23,22,6
926000000.0,35,23,4
926000000.0,8,24,4
926000000.0,14,16,6
926000000.0,20,15,5
926000000.0,32,25,9
