rts,src,dest,seqn,hops
842000000.0,12,17,0,1
842000000.0,11,19,0,2
842000000.0,18,15,0,2
842000000.0,17,19,0,1
842000000.0,18,15,1,2
842000000.0,17,13,1,1
842000000.0,12,12,1,2
842000000.0,13,13,0,2
842000000.0,21,20,1,1
842000000.0,26,24,1,1
842000000.0,24,20,1,3
842000000.0,22,23,1,1
843000000.0,16,12,1,2
843000000.0,26,19,2,2
843000000.0,24,16,2,5
843000000.0,23,26,1,2
843000000.0,12,12,2,2
843000000.0,20,13,0,2
843000000.0,13,13,1,2
843000000.0,18,24,2,5
843000000.0,25,25,1,2
843000000.0,18,12,3,2
843000000.0,23,20,2,4
843000000.0,14,12,0,2
843000000.0,12,13,3,1
843000000.0,17,12,2,1
843000000.0,22,24,2,1
843000000.0,19,18,1,1
843000000.0,21,17,2,2
844000000.0,14,13,1,1
844000000.0,15,24,3,5
844000000.0,20,18,1,2
844000000.0,19,18,2,1
844000000.0,23,21,3,2
844000000.0,12,15,4,1
844000000.0,16,20,2,3
844000000.0,13,25,2,7
844000000.0,11,22,1,11
844000000.0,18,12,4,2
844000000.0,15,20,4,3
844000000.0,22,13,4,4
844000000.0,24,20,4,3
844000000.0,23,21,4,2
844000000.0,20,19,2,1
844000000.0,25,12,3,5
844000000.0,22,22,3,2
844000000.0,17,24,3,4
844000000.0,14,24,2,6
844000000.0,16,19,3,4
844000000.0,11,25,2,5
844000000.0,13,13,3,2
845000000.0,24,20,5,3
845000000.0,11,17,3,1
845000000.0,23,22,5,1
845000000.0,17,16,4,3
845000000.0,21,17,3,2
845000000.0,22,13,5,4
845000000.0,14,25,3,6
845000000.0,16,13,4,1
845000000.0,20,14,3,2
845000000.0,19,14,3,2
845000000.0,18,23,5,5
845000000.0,25,15,4,5
845000000.0,18,13,6,2
845000000.0,19,24,4,2
845000000.0,12,17,5,1
845000000.0,17,18,5,1
845000000.0,23,19,6,2
845000000.0,13,18,4,3
845000000.0,20,22,4,2
845000000.0,11,23,4,5
845000000.0,23,24,7,1
846000000.0,22,23,6,1
846000000.0,18,18,7,2
846000000.0,26,20,4,3
846000000.0,15,26,5,6
846000000.0,16,24,5,6
846000000.0,11,18,5,2
846000000.0,15,12,6,1
846000000.0,20,15,5,2
846000000.0,13,15,5,1
846000000.0,19,24,5,2
846000000.0,13,14,6,1
846000000.0,18,12,8,2
846000000.0,20,19,6,1
846000000.0,12,21,6,4
846000000.0,23,25,8,2
846000000.0,15,21,7,4
846000000.0,17,19,6,1
846000000.0,22,17,7,2
847000000.0,17,18,7,1
847000000.0,11,19,7,2
847000000.0,24,26,8,2
847000000.0,15,23,8,6
847000000.0,19,24,6,2
847000000.0,20,21,7,1
847000000.0,22,23,8,1
847000000.0,14,21,5,4
847000000.0,23,25,9,2
847000000.0,12,14,7,2
847000000.0,18,26,9,5
847000000.0,13,16,7,3
847000000.0,24,21,7,2
847000000.0,25,19,7,2
847000000.0,26,13,6,6
847000000.0,22,22,9,2
847000000.0,26,14,5,5
847000000.0,25,23,8,3
847000000.0,23,25,10,2
847000000.0,18,12,10,2
847000000.0,24,14,9,6
847000000.0,15,21,9,4
847000000.0,20,20,8,2
847000000.0,14,15,6,1
847000000.0,11,17,8,1
847000000.0,19,18,7,1
847000000.0,13,26,8,6
847000000.0,17,17,8,2
847000000.0,12,15,8,1
848000000.0,15,23,10,6
848000000.0,19,22,8,4
848000000.0,18,20,11,1
848000000.0,11,16,9,2
848000000.0,13,13,9,2
848000000.0,24,22,10,1
848000000.0,22,18,10,4
848000000.0,16,24,6,5
848000000.0,26,19,7,2
848000000.0,16,15,7,1
848000000.0,13,19,10,3
848000000.0,17,18,9,1
848000000.0,21,13,6,4
848000000.0,22,23,11,1
848000000.0,18,23,12,5
848000000.0,15,22,11,5
848000000.0,14,22,7,5
848000000.0,19,16,9,2
848000000.0,11,16,10,2
848000000.0,24,18,11,4
848000000.0,20,24,9,4
848000000.0,26,17,8,3
848000000.0,23,12,11,5
848000000.0,25,17,11,3
848000000.0,20,13,10,3
848000000.0,18,21,13,3
849000000.0,21,23,7,2
849000000.0,22,19,12,2
849000000.0,12,14,10,2
849000000.0,16,12,8,2
849000000.0,13,13,11,2
849000000.0,15,16,12,1
849000000.0,14,25,8,7
849000000.0,19,22,10,2
849000000.0,11,13,11,1
849000000.0,24,15,12,5
849000000.0,17,26,10,5
849000000.0,26,15,9,5
849000000.0,25,13,12,5
849000000.0,17,25,11,5
849000000.0,13,14,12,1
849000000.0,20,14,11,2
849000000.0,19,22,11,2
849000000.0,23,22,12,1
849000000.0,22,17,13,3
849000000.0,11,13,12,1
849000000.0,15,19,13,3
849000000.0,19,18,12,1
850000000.0,11,12,13,1
850000000.0,18,24,14,6
850000000.0,20,14,12,2
850000000.0,14,19,9,3
850000000.0,22,12,14,4
850000000.0,21,15,8,3
850000000.0,25,17,13,4
850000000.0,17,23,12,4
850000000.0,21,12,9,3
850000000.0,11,16,14,2
850000000.0,17,12,13,1
850000000.0,26,25,10,1
850000000.0,25,16,14,5
850000000.0,20,25,13,4
