rts,src,dest,seqn,hops
861000000.0,13,15,0,2
861000000.0,2,18,0,5
862000000.0,11,15,0,1
862000000.0,26,26,0,2
862000000.0,12,22,0,5
862000000.0,16,21,0,5
862000000.0,17,12,0,1
862000000.0,32,22,0,8
862000000.0,5,21,0,6
862000000.0,6,16,0,4
862000000.0,21,19,0,1
862000000.0,18,15,0,2
862000000.0,15,13,0,2
862000000.0,7,15,0,2
862000000.0,22,18,0,3
862000000.0,24,14,0,6
862000000.0,19,17,0,1
862000000.0,10,21,0,5
862000000.0,15,13,1,1
862000000.0,12,13,1,1
862000000.0,18,12,1,2
862000000.0,20,26,0,8
862000000.0,11,17,1,2
862000000.0,34,21,1,8
862000000.0,33,13,1,7
862000000.0,5,22,1,6
862000000.0,26,17,1,7
862000000.0,7,13,1,2
862000000.0,32,21,1,8
862000000.0,14,14,0,2
862000000.0,36,26,0,3
862000000.0,21,22,1,1
862000000.0,18,24,2,8
862000000.0,15,24,2,8
863000000.0,13,15,1,1
863000000.0,21,16,2,3
863000000.0,12,16,2,4
863000000.0,8,16,1,3
863000000.0,20,12,1,2
863000000.0,33,13,2,7
863000000.0,6,18,2,5
863000000.0,31,15,2,5
863000000.0,35,17,0,3
863000000.0,16,21,1,6
863000000.0,22,24,2,1
863000000.0,2,21,2,5
863000000.0,23,15,2,4
863000000.0,10,12,1,1
863000000.0,34,18,2,7
863000000.0,29,17,2,6
863000000.0,9,12,1,1
863000000.0,12,15,3,1
863000000.0,22,22,3,2
863000000.0,14,24,2,6
863000000.0,11,24,2,5
863000000.0,8,18,2,2
863000000.0,13,21,2,5
863000000.0,18,16,3,2
863000000.0,25,22,2,1
863000000.0,26,24,3,1
863000000.0,4,12,1,2
863000000.0,1,13,1,1
863000000.0,19,16,2,2
863000000.0,3,22,3,13
863000000.0,36,13,3,5
864000000.0,22,24,4,1
864000000.0,32,26,4,1
864000000.0,19,16,3,2
864000000.0,34,12,4,4
864000000.0,23,16,3,7
864000000.0,12,24,4,36
864000000.0,17,17,4,2
864000000.0,28,17,3,6
864000000.0,31,24,4,2
864000000.0,10,21,3,5
864000000.0,18,21,4,3
864000000.0,30,17,3,9
864000000.0,30,17,3,9
864000000.0,1,19,2,8
864000000.0,11,19,3,2
864000000.0,30,24,4,2
864000000.0,1,16,3,3
864000000.0,14,22,3,7
864000000.0,22,21,5,1
864000000.0,17,21,5,2
864000000.0,33,21,4,9
864000000.0,8,26,4,4
864000000.0,13,13,4,2
864000000.0,18,14,5,3
864000000.0,24,17,4,5
864000000.0,2,16,3,5
864000000.0,26,22,4,1
864000000.0,31,21,5,6
864000000.0,19,21,4,1
864000000.0,35,16,2,5
864000000.0,4,18,3,4
864000000.0,29,12,4,7
864000000.0,27,15,1,6
864000000.0,6,13,5,2
864000000.0,23,16,4,7
864000000.0,7,16,2,1
864000000.0,15,22,5,7
864000000.0,36,14,4,5
864000000.0,10,24,4,7
864000000.0,16,17,4,1
864000000.0,21,16,3,2
864000000.0,18,26,6,7
864000000.0,32,12,5,6
865000000.0,26,15,5,5
865000000.0,2,15,4,3
865000000.0,24,13,5,6
865000000.0,30,21,5,7
865000000.0,31,13,6,5
865000000.0,12,25,5,6
865000000.0,11,25,4,5
865000000.0,10,18,5,3
865000000.0,16,15,5,1
865000000.0,22,22,6,2
865000000.0,36,24,5,3
865000000.0,4,12,4,5
865000000.0,20,15,3,2
865000000.0,14,24,4,5
865000000.0,28,13,5,7
865000000.0,7,22,3,5
865000000.0,29,16,5,7
865000000.0,13,15,5,1
865000000.0,7,19,4,6
865000000.0,16,17,6,1
865000000.0,19,26,5,10
865000000.0,31,13,7,5
865000000.0,30,21,6,10
865000000.0,20,22,4,2
865000000.0,29,16,6,5
865000000.0,2,19,5,7
865000000.0,3,25,7,3
865000000.0,23,20,6,3
865000000.0,25,15,5,4
865000000.0,15,17,7,1
865000000.0,36,15,6,5
865000000.0,22,18,7,3
865000000.0,11,26,5,7
865000000.0,6,22,6,5
865000000.0,35,22,4,3
865000000.0,5,14,4,1
865000000.0,12,15,7,1
865000000.0,4,14,6,4
865000000.0,22,24,8,1
865000000.0,28,25,7,1
866000000.0,19,21,6,1
866000000.0,33,13,6,7
866000000.0,7,16,5,1
866000000.0,18,26,8,11
866000000.0,6,21,7,5
866000000.0,9,17,3,2
866000000.0,21,20,5,1
866000000.0,2,16,6,2
866000000.0,27,24,3,1
866000000.0,26,13,7,7
866000000.0,8,17,5,1
866000000.0,23,17,7,3
866000000.0,34,12,7,4
866000000.0,25,25,6,3
866000000.0,9,17,4,2
866000000.0,35,14,6,3
866000000.0,22,25,9,1
866000000.0,19,22,7,2
866000000.0,10,25,7,8
866000000.0,25,16,7,6
866000000.0,20,26,5,11
866000000.0,29,18,8,11
866000000.0,14,13,5,1
866000000.0,36,12,7,6
866000000.0,26,22,8,1
866000000.0,12,23,8,6
866000000.0,30,25,7,2
866000000.0,31,26,8,2
866000000.0,8,18,6,2
866000000.0,6,25,8,5
866000000.0,4,25,7,7
866000000.0,15,15,9,2
866000000.0,18,12,9,2
866000000.0,28,12,8,8
866000000.0,21,22,6,1
866000000.0,12,23,9,6
867000000.0,5,18,5,4
867000000.0,31,24,9,2
867000000.0,35,17,7,6
867000000.0,26,16,9,5
867000000.0,23,17,8,9
867000000.0,6,17,9,4
867000000.0,7,16,7,1
867000000.0,25,26,8,1
867000000.0,8,18,7,2
867000000.0,21,23,7,2
867000000.0,4,14,8,3
867000000.0,30,17,8,8
867000000.0,36,25,8,4
867000000.0,22,19,10,6
867000000.0,27,13,5,4
867000000.0,10,24,8,19
867000000.0,24,24,9,6
867000000.0,10,15,9,2
867000000.0,32,12,6,2
867000000.0,31,17,10,3
867000000.0,21,23,8,2
867000000.0,22,14,11,5
867000000.0,30,21,9,7
867000000.0,36,24,9,3
867000000.0,14,20,6,3
867000000.0,17,24,8,7
867000000.0,33,16,8,6
867000000.0,26,25,10,1
867000000.0,2,24,7,4
867000000.0,15,21,11,3
867000000.0,25,24,9,3
867000000.0,18,26,10,8
867000000.0,35,19,8,4
867000000.0,16,16,10,2
867000000.0,6,15,10,2
867000000.0,20,15,6,2
867000000.0,7,19,8,3
867000000.0,24,23,10,1
867000000.0,3,18,10,4
867000000.0,27,15,6,6
867000000.0,13,18,9,3
867000000.0,28,13,10,4
867000000.0,34,15,10,4
868000000.0,29,17,10,4
868000000.0,4,15,10,2
868000000.0,7,24,9,5
868000000.0,19,21,9,1
868000000.0,12,20,10,3
868000000.0,18,17,11,1
868000000.0,15,25,12,10
868000000.0,27,14,7,8
868000000.0,21,15,9,3
868000000.0,6,20,11,4
868000000.0,17,16,9,1
868000000.0,33,23,9,3
868000000.0,35,14,9,4
868000000.0,9,17,5,1
868000000.0,25,21,10,8
868000000.0,10,18,10,3
868000000.0,35,19,10,5
868000000.0,36,21,10,7
868000000.0,33,12,10,7
868000000.0,11,13,7,1
868000000.0,31,21,11,7
868000000.0,20,12,7,2
868000000.0,32,16,8,7
868000000.0,19,14,10,2
868000000.0,17,17,10,2
868000000.0,7,14,10,3
868000000.0,6,22,12,6
868000000.0,14,21,7,4
868000000.0,12,22,11,8
868000000.0,9,13,6,2
868000000.0,3,21,12,4
868000000.0,8,24,9,7
868000000.0,18,23,12,9
868000000.0,29,23,11,4
868000000.0,24,26,12,1
868000000.0,10,13,11,2
868000000.0,5,17,9,3
869000000.0,35,15,11,4
869000000.0,20,18,8,2
869000000.0,27,25,9,1
869000000.0,3,22,13,5
869000000.0,36,24,11,5
869000000.0,32,14,9,6
869000000.0,8,15,10,1
869000000.0,15,14,14,1
869000000.0,25,26,12,1
869000000.0,22,26,12,1
869000000.0,6,15,13,2
869000000.0,31,14,12,6
869000000.0,29,14,12,7
869000000.0,16,13,12,1
869000000.0,19,16,11,2
869000000.0,1,15,9,4
869000000.0,16,12,13,2
869000000.0,32,20,10,5
869000000.0,4,21,12,6
869000000.0,3,16,14,4
869000000.0,34,22,12,8
869000000.0,13,18,13,5
869000000.0,35,13,12,4
869000000.0,15,21,15,3
869000000.0,7,13,11,3
869000000.0,12,12,13,2
869000000.0,31,12,13,5
869000000.0,28,25,11,5
869000000.0,2,21,10,4
869000000.0,24,22,14,1
869000000.0,21,12,10,2
869000000.0,11,19,8,2
869000000.0,8,13,11,2
869000000.0,27,18,10,4
869000000.0,34,15,13,4
869000000.0,6,12,15,1
869000000.0,25,25,13,2
870000000.0,2,22,11,5
870000000.0,1,14,10,1
870000000.0,7,13,12,3
870000000.0,21,19,11,1
870000000.0,14,16,10,1
870000000.0,17,19,12,1
870000000.0,32,17,11,3
870000000.0,36,21,12,5
870000000.0,4,22,13,7
870000000.0,26,17,13,4
870000000.0,5,13,10,3
870000000.0,19,21,12,1
870000000.0,35,20,13,5
870000000.0,12,14,14,2
870000000.0,20,12,9,2
870000000.0,33,18,12,8
870000000.0,28,19,12,7
870000000.0,8,22,12,6
870000000.0,27,23,11,1
870000000.0,24,24,15,5
870000000.0,29,13,14,7
870000000.0,2,21,12,7
870000000.0,30,18,13,7
