sts,src,dest,seqn
881000000.0,17,23,0
881000000.0,13,21,0
881000000.0,25,17,0
881000000.0,10,22,0
882000000.0,16,24,0
882000000.0,4,17,0
882000000.0,26,20,0
882000000.0,23,14,0
882000000.0,3,23,0
882000000.0,36,19,0
882000000.0,28,17,0
882000000.0,27,22,0
882000000.0,1,16,0
882000000.0,32,19,0
882000000.0,29,16,0
882000000.0,34,17,0
882000000.0,11,24,0
882000000.0,8,14,0
882000000.0,30,13,0
882000000.0,9,24,0
882000000.0,31,14,0
882000000.0,15,22,0
882000000.0,7,14,0
882000000.0,12,26,0
882000000.0,18,26,0
882000000.0,22,16,0
882000000.0,2,18,0
882000000.0,19,24,0
882000000.0,17,23,1
882000000.0,23,23,1
882000000.0,24,23,0
882000000.0,30,20,1
882000000.0,32,25,1
882000000.0,22,13,1
882000000.0,29,23,1
882000000.0,27,22,1
882000000.0,25,19,1
882000000.0,33,19,0
882000000.0,15,14,1
882000000.0,14,17,0
882000000.0,28,26,1
882000000.0,18,16,1
882000000.0,34,16,1
882000000.0,8,14,1
882000000.0,1,21,1
882000000.0,7,26,1
882000000.0,36,21,1
882000000.0,6,15,0
882000000.0,31,19,1
882000000.0,20,17,0
882000000.0,11,24,1
882000000.0,10,25,1
882000000.0,29,23,2
882000000.0,12,17,1
882000000.0,15,22,2
883000000.0,5,20,0
883000000.0,33,14,1
883000000.0,6,12,1
883000000.0,21,19,0
883000000.0,4,24,1
883000000.0,34,13,2
883000000.0,18,14,2
883000000.0,32,22,2
883000000.0,22,20,2
883000000.0,13,19,1
883000000.0,7,25,2
883000000.0,8,15,2
883000000.0,30,12,2
883000000.0,11,13,2
883000000.0,14,12,1
883000000.0,23,12,2
883000000.0,2,17,1
883000000.0,26,16,1
883000000.0,36,16,2
883000000.0,24,12,1
883000000.0,28,22,2
883000000.0,9,23,1
883000000.0,21,14,1
883000000.0,12,19,2
883000000.0,8,20,3
883000000.0,13,25,2
883000000.0,9,13,2
883000000.0,22,19,3
883000000.0,28,26,3
883000000.0,15,16,3
883000000.0,32,19,3
883000000.0,35,15,0
883000000.0,34,21,3
883000000.0,14,25,2
883000000.0,36,21,3
883000000.0,20,16,1
883000000.0,27,16,2
883000000.0,18,22,3
883000000.0,7,26,3
883000000.0,31,26,2
883000000.0,30,21,3
883000000.0,23,14,3
883000000.0,11,19,3
883000000.0,25,20,2
883000000.0,2,24,2
883000000.0,4,18,2
883000000.0,19,19,1
883000000.0,9,19,3
884000000.0,18,22,4
884000000.0,31,20,3
884000000.0,22,23,4
884000000.0,10,14,2
884000000.0,6,22,2
884000000.0,17,15,2
884000000.0,29,20,3
884000000.0,16,20,1
884000000.0,8,25,4
884000000.0,1,16,2
884000000.0,5,22,1
884000000.0,28,22,4
884000000.0,21,24,2
884000000.0,4,18,3
884000000.0,27,25,3
884000000.0,26,17,2
884000000.0,13,24,3
884000000.0,36,20,4
884000000.0,2,14,3
884000000.0,15,19,4
884000000.0,30,14,4
884000000.0,34,19,4
884000000.0,12,14,3
884000000.0,24,14,2
884000000.0,25,20,3
884000000.0,14,15,3
884000000.0,35,17,1
884000000.0,29,16,4
884000000.0,33,16,2
884000000.0,22,19,5
884000000.0,21,14,3
884000000.0,11,25,4
884000000.0,7,21,4
884000000.0,30,20,5
884000000.0,28,22,5
884000000.0,1,18,3
884000000.0,14,26,4
884000000.0,26,18,3
884000000.0,8,18,5
884000000.0,9,26,4
884000000.0,4,21,4
884000000.0,2,12,4
884000000.0,32,14,4
884000000.0,19,24,2
884000000.0,20,19,2
884000000.0,5,17,2
884000000.0,36,15,5
884000000.0,18,15,5
884000000.0,25,17,4
884000000.0,31,22,4
884000000.0,15,25,5
884000000.0,29,13,5
884000000.0,14,25,5
884000000.0,1,16,4
884000000.0,19,15,3
884000000.0,12,22,4
885000000.0,5,25,3
885000000.0,15,24,6
885000000.0,4,16,5
885000000.0,33,18,3
885000000.0,8,15,6
885000000.0,10,16,3
885000000.0,25,18,5
885000000.0,35,16,2
885000000.0,18,22,6
885000000.0,27,20,4
885000000.0,2,23,5
885000000.0,31,21,5
885000000.0,6,26,3
885000000.0,30,24,6
885000000.0,26,22,4
885000000.0,21,21,4
885000000.0,32,19,5
885000000.0,16,12,2
885000000.0,34,22,5
885000000.0,24,13,3
885000000.0,11,13,5
885000000.0,7,14,5
885000000.0,36,19,6
885000000.0,1,21,5
885000000.0,14,24,6
885000000.0,19,14,4
885000000.0,35,12,3
885000000.0,23,15,4
885000000.0,29,14,6
885000000.0,34,26,6
885000000.0,24,19,4
885000000.0,21,18,5
885000000.0,28,19,6
885000000.0,2,25,6
885000000.0,27,23,5
885000000.0,31,19,6
885000000.0,18,20,7
885000000.0,4,20,6
885000000.0,9,23,5
885000000.0,17,25,3
885000000.0,12,23,5
885000000.0,30,21,7
885000000.0,21,14,6
885000000.0,11,23,6
886000000.0,19,21,5
886000000.0,25,23,6
886000000.0,12,23,6
886000000.0,24,13,5
886000000.0,22,20,6
886000000.0,15,17,7
886000000.0,34,18,7
886000000.0,6,18,4
886000000.0,8,23,7
886000000.0,27,14,6
886000000.0,4,17,7
886000000.0,28,14,7
886000000.0,14,17,7
886000000.0,29,17,7
886000000.0,5,19,4
886000000.0,10,26,4
886000000.0,7,14,6
886000000.0,12,15,7
886000000.0,18,15,8
886000000.0,17,17,4
886000000.0,35,19,4
886000000.0,11,12,7
886000000.0,30,13,8
886000000.0,32,22,6
886000000.0,26,19,5
886000000.0,4,18,8
886000000.0,9,21,6
886000000.0,27,13,7
886000000.0,5,14,5
886000000.0,31,14,7
886000000.0,14,18,8
886000000.0,34,20,8
886000000.0,25,24,7
886000000.0,21,18,7
886000000.0,19,26,6
886000000.0,7,15,7
886000000.0,13,18,4
886000000.0,28,14,8
886000000.0,6,13,5
886000000.0,8,16,8
886000000.0,16,26,3
886000000.0,29,24,8
886000000.0,33,14,4
886000000.0,15,13,8
886000000.0,13,12,5
886000000.0,2,12,7
886000000.0,17,24,5
886000000.0,1,24,6
886000000.0,21,25,8
887000000.0,36,20,7
887000000.0,31,25,8
887000000.0,14,21,9
887000000.0,28,17,9
887000000.0,24,26,6
887000000.0,35,23,5
887000000.0,22,19,7
887000000.0,34,26,9
887000000.0,7,16,8
887000000.0,23,15,5
887000000.0,29,13,9
887000000.0,25,23,8
887000000.0,10,25,5
887000000.0,30,13,9
887000000.0,5,26,6
887000000.0,9,13,7
887000000.0,8,18,9
887000000.0,18,26,9
887000000.0,11,12,8
887000000.0,19,26,7
887000000.0,33,15,5
887000000.0,15,13,9
887000000.0,5,14,7
887000000.0,18,16,10
887000000.0,32,20,7
887000000.0,36,21,8
887000000.0,9,13,8
887000000.0,24,13,7
887000000.0,22,19,8
887000000.0,11,15,9
887000000.0,7,25,9
887000000.0,20,16,3
887000000.0,12,19,8
887000000.0,13,16,6
887000000.0,2,12,8
887000000.0,10,25,6
887000000.0,31,18,9
887000000.0,17,23,6
887000000.0,33,17,6
887000000.0,25,24,9
887000000.0,21,21,9
887000000.0,6,20,6
887000000.0,1,26,7
887000000.0,15,13,10
887000000.0,18,13,11
887000000.0,7,13,10
887000000.0,16,19,4
888000000.0,29,23,10
888000000.0,11,26,10
888000000.0,31,14,10
888000000.0,2,25,9
888000000.0,21,14,10
888000000.0,26,26,6
888000000.0,9,14,9
888000000.0,13,24,7
888000000.0,30,17,10
888000000.0,8,15,10
888000000.0,4,13,9
888000000.0,14,24,10
888000000.0,6,13,7
888000000.0,23,23,6
888000000.0,36,21,9
