sts,src,dest,seqn
881000000.0,27,16,0
881000000.0,24,26,0
881000000.0,7,20,0
882000000.0,2,24,0
882000000.0,15,26,0
882000000.0,32,26,0
882000000.0,12,22,0
882000000.0,6,23,0
882000000.0,10,14,0
882000000.0,19,18,0
882000000.0,17,15,0
882000000.0,28,24,0
882000000.0,20,13,0
882000000.0,13,23,0
882000000.0,14,13,0
882000000.0,23,12,0
882000000.0,16,26,0
882000000.0,33,17,0
882000000.0,25,12,0
882000000.0,1,19,0
882000000.0,4,18,0
882000000.0,5,17,0
882000000.0,22,23,0
882000000.0,35,22,0
882000000.0,34,14,0
882000000.0,29,14,0
882000000.0,26,13,0
882000000.0,12,22,1
882000000.0,30,26,0
882000000.0,6,25,1
882000000.0,2,16,1
882000000.0,16,12,1
882000000.0,33,26,1
882000000.0,8,22,0
882000000.0,5,15,1
882000000.0,20,18,1
882000000.0,18,14,0
882000000.0,29,18,1
882000000.0,13,13,1
882000000.0,9,25,0
882000000.0,7,13,1
882000000.0,31,23,0
882000000.0,10,20,1
882000000.0,23,17,1
882000000.0,35,15,1
882000000.0,26,22,1
882000000.0,4,26,1
882000000.0,15,19,1
882000000.0,22,16,1
882000000.0,14,17,1
882000000.0,24,19,1
882000000.0,27,18,1
882000000.0,34,21,1
882000000.0,28,14,1
882000000.0,3,17,0
882000000.0,15,18,2
882000000.0,9,26,1
882000000.0,32,23,1
883000000.0,2,15,2
883000000.0,28,18,2
883000000.0,29,24,2
883000000.0,14,12,2
883000000.0,8,25,1
883000000.0,35,23,2
883000000.0,5,22,2
883000000.0,11,23,0
883000000.0,21,19,0
883000000.0,22,14,2
883000000.0,12,21,2
883000000.0,6,24,2
883000000.0,4,12,2
883000000.0,33,14,2
883000000.0,36,20,0
883000000.0,26,13,2
883000000.0,20,24,2
883000000.0,31,15,1
883000000.0,34,15,2
883000000.0,5,15,3
883000000.0,14,22,3
883000000.0,1,26,1
883000000.0,18,16,1
883000000.0,22,19,3
883000000.0,9,18,2
883000000.0,17,18,1
883000000.0,32,13,2
883000000.0,13,15,2
883000000.0,30,21,1
883000000.0,35,20,3
883000000.0,24,19,2
883000000.0,19,25,1
883000000.0,7,23,2
883000000.0,11,26,1
883000000.0,25,18,1
883000000.0,4,17,3
883000000.0,26,22,3
883000000.0,6,21,3
883000000.0,3,21,1
883000000.0,2,17,3
883000000.0,8,12,2
883000000.0,20,17,3
883000000.0,28,18,3
883000000.0,10,25,2
883000000.0,10,15,3
883000000.0,9,24,3
883000000.0,12,20,3
883000000.0,25,19,2
884000000.0,4,17,4
884000000.0,7,25,3
884000000.0,24,20,3
884000000.0,17,19,2
884000000.0,19,14,2
884000000.0,29,12,3
884000000.0,1,23,2
884000000.0,34,21,3
884000000.0,23,15,2
884000000.0,36,16,1
884000000.0,18,14,2
884000000.0,35,17,4
884000000.0,6,14,4
884000000.0,27,23,2
884000000.0,2,13,4
884000000.0,3,19,2
884000000.0,26,22,4
884000000.0,32,17,3
884000000.0,8,25,3
884000000.0,31,14,2
884000000.0,11,20,2
884000000.0,17,22,3
884000000.0,3,12,3
884000000.0,9,15,4
884000000.0,21,25,1
884000000.0,19,13,3
884000000.0,24,13,4
884000000.0,13,24,3
884000000.0,20,13,4
884000000.0,11,15,3
884000000.0,31,14,3
884000000.0,29,20,4
884000000.0,33,22,3
884000000.0,7,14,4
884000000.0,1,17,3
884000000.0,35,19,5
884000000.0,34,16,4
884000000.0,18,26,3
884000000.0,36,16,2
884000000.0,8,24,4
884000000.0,22,23,4
884000000.0,15,25,3
884000000.0,14,23,4
884000000.0,2,26,5
884000000.0,9,25,5
885000000.0,28,23,4
885000000.0,16,22,2
885000000.0,18,16,4
885000000.0,12,25,4
885000000.0,11,13,4
885000000.0,8,24,5
885000000.0,30,26,2
885000000.0,29,21,5
885000000.0,14,17,5
885000000.0,6,26,5
885000000.0,22,20,5
885000000.0,13,12,4
885000000.0,25,24,3
885000000.0,27,17,3
885000000.0,7,22,5
885000000.0,31,25,4
885000000.0,3,14,4
885000000.0,10,25,4
885000000.0,19,19,4
885000000.0,4,24,5
885000000.0,32,17,4
885000000.0,21,23,2
885000000.0,24,15,5
885000000.0,1,20,4
885000000.0,8,13,6
885000000.0,1,23,5
885000000.0,33,24,4
885000000.0,31,23,5
885000000.0,21,26,3
885000000.0,34,26,5
885000000.0,4,20,6
885000000.0,2,21,6
885000000.0,22,15,6
885000000.0,7,17,6
885000000.0,17,18,4
885000000.0,15,16,4
885000000.0,3,24,5
885000000.0,25,23,4
885000000.0,27,20,4
885000000.0,19,15,5
885000000.0,30,25,3
885000000.0,35,18,6
885000000.0,29,13,6
885000000.0,10,16,5
885000000.0,13,19,5
885000000.0,36,24,3
885000000.0,9,26,6
885000000.0,24,12,6
885000000.0,33,21,5
885000000.0,2,19,7
885000000.0,14,17,6
885000000.0,32,20,5
886000000.0,8,14,7
886000000.0,27,23,5
886000000.0,10,20,6
886000000.0,5,24,4
886000000.0,9,19,7
886000000.0,19,22,6
886000000.0,25,25,5
886000000.0,20,25,5
886000000.0,28,24,5
886000000.0,4,20,7
886000000.0,11,12,5
886000000.0,35,13,7
886000000.0,23,23,3
886000000.0,29,13,7
886000000.0,15,22,5
886000000.0,22,19,7
886000000.0,6,16,6
886000000.0,1,12,6
886000000.0,26,22,5
886000000.0,16,17,3
886000000.0,12,22,5
886000000.0,36,23,4
886000000.0,31,23,6
886000000.0,34,12,6
886000000.0,5,15,5
886000000.0,1,17,7
886000000.0,27,14,6
886000000.0,35,20,8
886000000.0,2,26,8
886000000.0,17,26,5
886000000.0,20,26,6
886000000.0,36,26,5
886000000.0,29,18,8
886000000.0,33,18,6
886000000.0,32,13,6
886000000.0,4,17,8
886000000.0,24,20,7
886000000.0,10,24,7
886000000.0,12,25,6
886000000.0,16,26,4
886000000.0,13,23,6
886000000.0,11,14,6
886000000.0,30,15,4
886000000.0,3,18,6
886000000.0,15,12,6
886000000.0,14,25,7
886000000.0,7,20,7
886000000.0,25,16,6
886000000.0,22,13,8
886000000.0,15,24,7
887000000.0,3,13,7
887000000.0,9,16,8
887000000.0,14,15,8
887000000.0,20,23,7
887000000.0,28,25,6
887000000.0,31,16,7
887000000.0,13,20,7
887000000.0,2,14,9
887000000.0,34,24,7
887000000.0,5,16,6
887000000.0,26,13,6
887000000.0,8,14,8
887000000.0,10,24,8
887000000.0,18,23,5
887000000.0,24,19,8
887000000.0,7,23,8
887000000.0,12,12,7
887000000.0,6,20,7
887000000.0,27,23,7
887000000.0,21,22,4
887000000.0,17,24,6
887000000.0,11,21,7
887000000.0,35,24,9
887000000.0,1,26,8
887000000.0,36,21,6
887000000.0,23,21,4
887000000.0,21,18,5
887000000.0,34,22,8
887000000.0,26,17,7
887000000.0,35,14,10
887000000.0,3,23,8
887000000.0,9,22,9
887000000.0,29,14,9
887000000.0,8,26,9
887000000.0,30,21,5
887000000.0,6,22,8
887000000.0,36,26,7
887000000.0,19,15,7
887000000.0,22,26,9
887000000.0,23,13,5
887000000.0,2,12,10
887000000.0,31,19,8
887000000.0,17,15,7
887000000.0,20,18,8
887000000.0,24,25,9
887000000.0,15,24,8
887000000.0,33,23,7
887000000.0,16,26,5
887000000.0,28,16,7
887000000.0,31,13,9
887000000.0,11,16,8
887000000.0,16,17,6
888000000.0,20,14,9
888000000.0,19,17,8
888000000.0,26,12,8
888000000.0,35,19,11
888000000.0,23,26,6
888000000.0,12,25,8
888000000.0,8,24,10
888000000.0,30,22,6
888000000.0,24,25,10
888000000.0,33,26,8
888000000.0,5,15,7
888000000.0,15,15,9
888000000.0,32,17,7
888000000.0,10,16,9
888000000.0,7,15,9
888000000.0,18,20,6
888000000.0,28,12,8
888000000.0,2,23,11
888000000.0,36,13,8
888000000.0,27,21,8
888000000.0,34,24,9
888000000.0,1,13,9
888000000.0,14,12,9
888000000.0,3,17,9
888000000.0,9,24,10
888000000.0,29,16,10
888000000.0,35,14,12
888000000.0,16,18,7
888000000.0,7,15,10
888000000.0,20,23,10
888000000.0,11,25,9
888000000.0,3,20,10
888000000.0,14,18,10
888000000.0,19,24,9
888000000.0,18,14,7
888000000.0,6,23,9
888000000.0,22,25,10
888000000.0,32,13,8
888000000.0,23,17,7
888000000.0,21,13,6
888000000.0,28,25,9
888000000.0,2,12,12
888000000.0,4,13,9
888000000.0,31,13,10
888000000.0,30,13,7
888000000.0,10,17,10
888000000.0,9,13,11
888000000.0,34,16,10
888000000.0,26,22,9
888000000.0,27,21,9
888000000.0,25,12,7
888000000.0,36,20,9
888000000.0,17,17,8
888000000.0,24,14,11
888000000.0,1,22,10
888000000.0,20,15,11
889000000.0,17,18,9
889000000.0,29,16,11
889000000.0,7,26,11
889000000.0,24,25,12
889000000.0,6,17,10
889000000.0,13,15,8
889000000.0,21,19,7
889000000.0,22,23,11
889000000.0,4,24,10
889000000.0,35,20,13
889000000.0,19,17,10
889000000.0,12,15,9
889000000.0,8,22,11
889000000.0,30,15,8
889000000.0,31,14,11
889000000.0,18,18,8
