sts,src,dest,seqn
841000000.0,24,13,0
841000000.0,2,18,0
841000000.0,12,18,0
841000000.0,3,14,0
841000000.0,9,26,0
841000000.0,21,13,0
841000000.0,36,19,0
841000000.0,30,26,0
842000000.0,19,18,0
842000000.0,17,21,0
842000000.0,10,13,0
842000000.0,22,21,0
842000000.0,32,13,0
842000000.0,35,23,0
842000000.0,28,21,0
842000000.0,13,13,0
842000000.0,6,21,0
842000000.0,29,22,0
842000000.0,8,14,0
842000000.0,1,13,0
842000000.0,11,18,0
842000000.0,14,15,0
842000000.0,31,25,0
842000000.0,34,23,0
842000000.0,7,15,0
842000000.0,18,13,0
842000000.0,26,17,0
842000000.0,4,17,0
842000000.0,23,15,0
842000000.0,20,19,0
842000000.0,22,14,1
842000000.0,25,12,0
842000000.0,20,18,1
842000000.0,26,22,1
842000000.0,4,18,1
842000000.0,10,15,1
842000000.0,8,16,1
842000000.0,24,25,1
842000000.0,21,20,1
842000000.0,7,20,1
842000000.0,13,21,1
842000000.0,14,26,1
842000000.0,36,24,1
842000000.0,32,17,1
842000000.0,28,16,1
842000000.0,6,14,1
842000000.0,5,20,0
842000000.0,35,14,1
842000000.0,3,26,1
842000000.0,11,15,1
842000000.0,16,22,0
842000000.0,9,26,1
842000000.0,2,24,1
842000000.0,23,16,1
842000000.0,33,26,0
842000000.0,27,21,0
842000000.0,34,14,1
842000000.0,3,16,2
842000000.0,30,13,1
842000000.0,25,19,1
843000000.0,2,16,2
843000000.0,10,19,2
843000000.0,12,13,1
843000000.0,35,21,2
843000000.0,19,17,1
843000000.0,32,21,2
843000000.0,11,20,2
843000000.0,8,22,2
843000000.0,20,26,2
843000000.0,22,17,2
843000000.0,6,17,2
843000000.0,18,12,1
843000000.0,5,19,1
843000000.0,17,20,1
843000000.0,31,25,1
843000000.0,26,21,2
843000000.0,16,25,1
843000000.0,14,23,2
843000000.0,33,20,1
843000000.0,29,24,1
843000000.0,28,17,2
843000000.0,4,26,2
843000000.0,34,20,2
843000000.0,19,26,2
843000000.0,22,16,3
843000000.0,7,24,2
843000000.0,10,17,3
843000000.0,20,24,3
843000000.0,31,20,2
843000000.0,6,23,3
843000000.0,25,22,2
843000000.0,29,16,2
843000000.0,18,14,2
843000000.0,24,13,2
843000000.0,13,23,2
843000000.0,8,14,3
843000000.0,35,13,3
843000000.0,15,12,0
843000000.0,30,20,2
843000000.0,28,23,3
843000000.0,21,22,2
843000000.0,16,26,2
843000000.0,33,25,2
843000000.0,11,23,3
843000000.0,4,13,3
843000000.0,26,25,3
843000000.0,2,17,3
843000000.0,2,13,4
843000000.0,7,14,3
844000000.0,9,14,2
844000000.0,26,24,4
844000000.0,31,13,3
844000000.0,30,21,3
844000000.0,14,20,3
844000000.0,15,23,1
844000000.0,19,26,3
844000000.0,11,13,4
844000000.0,17,25,2
844000000.0,8,18,4
844000000.0,24,26,3
844000000.0,16,23,3
844000000.0,5,15,2
844000000.0,1,14,1
844000000.0,3,23,3
844000000.0,4,18,4
844000000.0,33,12,3
844000000.0,6,23,4
844000000.0,23,26,2
844000000.0,27,18,1
844000000.0,10,23,4
844000000.0,36,21,2
844000000.0,22,17,4
844000000.0,19,13,4
844000000.0,22,12,5
844000000.0,33,22,4
844000000.0,28,20,4
844000000.0,29,12,3
844000000.0,36,24,3
844000000.0,34,23,3
844000000.0,17,20,3
844000000.0,31,19,4
844000000.0,26,21,5
844000000.0,35,21,4
844000000.0,24,25,4
844000000.0,13,24,3
844000000.0,3,21,4
844000000.0,9,22,3
844000000.0,11,23,5
844000000.0,10,26,5
844000000.0,15,18,2
844000000.0,25,14,3
844000000.0,27,18,2
844000000.0,6,24,5
844000000.0,1,21,2
844000000.0,20,16,4
844000000.0,18,14,3
844000000.0,2,22,5
844000000.0,32,16,3
844000000.0,21,18,3
844000000.0,8,22,5
