rts,src,dest,seqn,hops
121000000.0,24,23,0,1
121000000.0,22,15,0,4
121000000.0,14,12,0,1
122000000.0,16,16,0,2
122000000.0,17,17,0,2
122000000.0,18,25,0,4
122000000.0,20,17,0,1
122000000.0,26,24,0,1
122000000.0,25,13,0,4
122000000.0,21,26,0,2
122000000.0,19,18,1,1
122000000.0,20,19,1,1
122000000.0,16,23,1,4
122000000.0,21,15,1,2
122000000.0,23,26,0,1
122000000.0,13,13,0,3
122000000.0,11,25,0,4
122000000.0,17,16,1,1
122000000.0,26,16,1,3
122000000.0,13,25,1,5
123000000.0,16,21,2,3
123000000.0,15,16,0,1
123000000.0,14,25,1,5
123000000.0,24,23,1,1
123000000.0,26,23,2,1
123000000.0,23,14,1,3
123000000.0,19,24,2,5
123000000.0,21,23,2,1
123000000.0,22,15,1,3
123000000.0,12,19,1,3
123000000.0,17,24,2,2
123000000.0,18,19,1,1
123000000.0,24,18,2,3
123000000.0,23,15,2,3
123000000.0,18,19,2,1
123000000.0,17,22,3,2
123000000.0,11,16,1,2
123000000.0,20,17,2,1
123000000.0,22,26,2,1
123000000.0,12,25,2,5
123000000.0,25,19,1,3
123000000.0,21,15,3,2
123000000.0,14,20,2,3
123000000.0,16,15,3,1
123000000.0,15,19,1,3
123000000.0,11,24,2,4
123000000.0,26,12,3,4
123000000.0,25,22,2,1
124000000.0,23,17,3,2
124000000.0,19,18,3,1
124000000.0,18,21,3,1
124000000.0,24,17,3,3
124000000.0,13,24,2,5
124000000.0,15,14,2,1
124000000.0,20,12,3,2
124000000.0,17,21,4,1
124000000.0,16,23,4,4
124000000.0,19,12,4,2
124000000.0,13,21,3,3
124000000.0,14,12,3,1
124000000.0,23,14,4,3
124000000.0,12,26,3,5
124000000.0,21,13,4,2
124000000.0,15,26,3,5
124000000.0,26,13,4,3
124000000.0,22,23,3,1
124000000.0,16,14,5,1
124000000.0,20,15,4,2
124000000.0,26,13,5,3
125000000.0,17,20,5,1
125000000.0,21,12,5,2
125000000.0,18,14,4,2
125000000.0,13,19,4,3
125000000.0,15,16,4,1
125000000.0,22,24,4,1
125000000.0,19,19,5,2
125000000.0,16,25,6,5
125000000.0,13,20,5,3
125000000.0,23,23,5,2
125000000.0,26,23,6,1
125000000.0,17,20,6,1
125000000.0,25,14,3,3
125000000.0,19,18,6,1
125000000.0,24,15,4,3
125000000.0,22,13,5,3
125000000.0,11,12,3,2
125000000.0,14,16,4,1
125000000.0,15,13,5,1
125000000.0,18,26,5,4
125000000.0,12,13,4,1
125000000.0,26,19,7,2
