sts,src,dest,seqn
181000000.0,34,13,0
181000000.0,36,17,0
182000000.0,28,20,0
182000000.0,1,25,0
182000000.0,18,22,0
182000000.0,4,19,0
182000000.0,12,20,0
182000000.0,24,13,0
182000000.0,17,21,0
182000000.0,32,12,0
182000000.0,6,12,0
182000000.0,30,23,0
182000000.0,3,24,0
182000000.0,9,13,0
182000000.0,31,19,0
182000000.0,21,16,0
182000000.0,11,25,0
182000000.0,33,16,0
182000000.0,35,21,0
182000000.0,29,20,0
182000000.0,15,26,0
182000000.0,25,12,0
182000000.0,27,21,0
182000000.0,36,13,1
182000000.0,7,23,0
182000000.0,32,14,1
182000000.0,23,14,0
182000000.0,18,23,1
182000000.0,27,24,1
182000000.0,34,18,1
182000000.0,30,15,1
182000000.0,35,22,1
182000000.0,3,26,1
182000000.0,21,15,1
182000000.0,16,19,0
182000000.0,6,19,1
182000000.0,12,25,1
182000000.0,29,21,1
182000000.0,17,22,1
182000000.0,8,19,0
182000000.0,33,19,1
182000000.0,14,25,0
182000000.0,4,17,1
182000000.0,28,14,1
182000000.0,31,26,1
182000000.0,2,14,0
182000000.0,1,16,1
182000000.0,24,26,1
182000000.0,26,21,0
182000000.0,10,15,0
182000000.0,20,19,0
182000000.0,22,20,0
182000000.0,9,25,1
182000000.0,31,25,2
182000000.0,25,16,1
183000000.0,9,24,2
183000000.0,13,17,0
183000000.0,1,18,2
183000000.0,32,14,2
183000000.0,6,20,2
183000000.0,8,12,1
183000000.0,22,12,1
183000000.0,35,14,2
183000000.0,2,19,1
183000000.0,34,23,2
183000000.0,29,16,2
183000000.0,7,20,1
183000000.0,24,14,2
183000000.0,10,21,1
183000000.0,36,24,2
183000000.0,21,26,2
183000000.0,27,12,2
183000000.0,14,13,1
183000000.0,12,20,2
183000000.0,3,20,2
183000000.0,4,13,2
183000000.0,15,24,1
183000000.0,21,12,3
183000000.0,23,21,1
183000000.0,3,20,3
183000000.0,2,22,2
183000000.0,26,19,1
183000000.0,8,20,2
183000000.0,12,17,3
183000000.0,22,24,2
183000000.0,25,20,2
183000000.0,14,15,2
183000000.0,28,20,2
183000000.0,33,17,2
183000000.0,16,12,1
183000000.0,34,22,3
183000000.0,27,14,3
183000000.0,31,23,3
183000000.0,20,26,1
183000000.0,7,16,2
183000000.0,17,25,2
183000000.0,29,22,3
183000000.0,4,13,3
183000000.0,1,18,3
183000000.0,10,19,2
183000000.0,19,18,0
183000000.0,30,26,2
183000000.0,28,16,3
183000000.0,6,16,3
183000000.0,10,23,3
184000000.0,27,19,4
184000000.0,11,19,1
184000000.0,8,26,3
184000000.0,29,18,4
184000000.0,36,13,3
184000000.0,4,16,4
184000000.0,21,12,4
184000000.0,12,18,4
184000000.0,15,21,2
184000000.0,34,15,4
184000000.0,35,21,3
184000000.0,22,25,3
184000000.0,13,20,1
184000000.0,3,15,4
184000000.0,2,20,3
184000000.0,24,19,3
184000000.0,32,24,3
184000000.0,9,17,3
184000000.0,23,20,2
184000000.0,16,14,2
184000000.0,1,20,4
184000000.0,35,21,4
184000000.0,14,15,3
184000000.0,16,15,3
184000000.0,23,17,3
184000000.0,28,24,4
184000000.0,29,17,5
184000000.0,4,26,5
184000000.0,7,13,3
184000000.0,12,14,5
184000000.0,1,22,5
184000000.0,22,24,4
184000000.0,10,17,4
184000000.0,36,15,4
184000000.0,15,24,3
184000000.0,8,23,4
184000000.0,9,19,4
184000000.0,20,12,2
184000000.0,2,24,4
184000000.0,13,20,2
184000000.0,27,25,5
184000000.0,25,24,3
184000000.0,33,23,3
184000000.0,32,23,4
184000000.0,31,22,4
184000000.0,26,14,2
184000000.0,22,16,5
185000000.0,8,21,5
185000000.0,24,15,4
185000000.0,34,16,5
185000000.0,23,14,4
185000000.0,6,26,4
185000000.0,11,26,2
185000000.0,13,23,3
185000000.0,17,21,3
185000000.0,14,20,4
185000000.0,2,13,5
185000000.0,9,24,5
185000000.0,36,25,5
185000000.0,35,13,5
185000000.0,20,22,3
185000000.0,10,17,5
185000000.0,32,21,5
185000000.0,29,25,6
185000000.0,16,23,4
185000000.0,25,16,4
185000000.0,31,12,5
185000000.0,33,24,4
185000000.0,21,15,5
185000000.0,19,14,1
185000000.0,27,22,6
185000000.0,30,20,3
185000000.0,10,15,6
185000000.0,15,16,4
185000000.0,14,14,5
185000000.0,35,25,6
185000000.0,29,16,7
185000000.0,17,20,4
185000000.0,3,25,5
185000000.0,21,18,6
185000000.0,31,20,6
185000000.0,27,12,7
185000000.0,19,24,2
185000000.0,4,22,6
185000000.0,9,24,6
185000000.0,16,17,5
185000000.0,20,22,4
185000000.0,22,20,6
185000000.0,24,12,5
185000000.0,12,22,6
185000000.0,36,13,6
185000000.0,28,12,5
185000000.0,8,17,6
185000000.0,13,16,4
185000000.0,18,17,2
185000000.0,7,23,4
185000000.0,25,23,5
185000000.0,34,13,6
185000000.0,16,21,6
185000000.0,7,18,5
185000000.0,27,23,8
186000000.0,15,21,5
186000000.0,18,25,3
186000000.0,36,16,7
186000000.0,6,15,5
186000000.0,31,17,7
186000000.0,22,13,7
186000000.0,26,16,3
186000000.0,3,25,6
186000000.0,8,13,7
186000000.0,23,23,5
186000000.0,11,18,3
186000000.0,35,23,7
186000000.0,24,24,6
186000000.0,28,12,6
186000000.0,20,14,5
186000000.0,13,18,5
186000000.0,32,15,6
186000000.0,12,13,7
186000000.0,17,15,5
186000000.0,2,14,6
186000000.0,1,13,6
186000000.0,29,20,8
186000000.0,10,16,7
186000000.0,30,17,4
186000000.0,33,15,5
186000000.0,25,20,6
186000000.0,4,19,7
186000000.0,14,15,6
186000000.0,20,16,6
186000000.0,14,18,7
186000000.0,2,25,7
186000000.0,34,14,7
186000000.0,22,23,8
186000000.0,13,12,6
186000000.0,8,13,8
186000000.0,19,15,3
186000000.0,24,18,7
186000000.0,31,25,8
186000000.0,29,22,9
186000000.0,9,14,7
186000000.0,30,15,5
186000000.0,28,15,7
186000000.0,7,15,6
186000000.0,33,14,6
186000000.0,4,22,8
186000000.0,17,17,6
186000000.0,32,19,7
186000000.0,35,23,8
186000000.0,36,20,8
186000000.0,1,26,7
186000000.0,23,23,6
186000000.0,27,16,9
186000000.0,26,21,4
186000000.0,15,20,6
186000000.0,6,13,6
186000000.0,10,24,8
186000000.0,21,15,7
186000000.0,16,15,7
186000000.0,33,24,7
186000000.0,30,21,6
186000000.0,36,12,9
186000000.0,2,18,8
186000000.0,22,16,9
186000000.0,3,13,7
186000000.0,11,21,4
187000000.0,19,16,4
187000000.0,32,15,8
187000000.0,6,15,7
187000000.0,12,15,8
187000000.0,16,16,8
187000000.0,4,25,9
187000000.0,23,23,7
187000000.0,26,23,5
187000000.0,7,23,7
187000000.0,31,16,9
187000000.0,21,17,8
187000000.0,8,23,9
187000000.0,34,23,8
187000000.0,24,17,8
187000000.0,9,13,8
187000000.0,25,12,7
187000000.0,3,19,8
187000000.0,19,19,5
187000000.0,20,21,7
187000000.0,14,23,8
187000000.0,18,14,4
