rts,src,dest,seqn,hops
201000000.0,1,23,0,8
202000000.0,27,17,0,4
202000000.0,33,14,0,5
202000000.0,9,26,0,4
202000000.0,17,15,0,2
202000000.0,24,25,0,1
202000000.0,32,22,0,8
202000000.0,23,16,0,5
202000000.0,21,17,0,2
202000000.0,26,13,0,6
202000000.0,11,19,0,2
202000000.0,6,19,0,4
202000000.0,22,20,0,2
202000000.0,12,22,0,5
202000000.0,13,14,0,1
202000000.0,20,13,0,3
202000000.0,10,16,0,1
202000000.0,7,21,0,5
202000000.0,19,13,0,3
202000000.0,8,23,0,7
202000000.0,15,19,0,3
202000000.0,17,26,1,6
202000000.0,15,15,1,2
202000000.0,7,20,1,6
202000000.0,18,18,1,2
202000000.0,27,25,1,1
202000000.0,31,22,1,2
202000000.0,14,20,0,5
202000000.0,6,21,1,6
202000000.0,10,15,1,1
202000000.0,21,26,1,2
202000000.0,16,17,0,1
202000000.0,8,25,1,4
202000000.0,19,18,1,1
202000000.0,35,22,1,3
203000000.0,14,14,1,2
203000000.0,2,24,1,6
203000000.0,33,20,1,7
203000000.0,10,17,2,1
203000000.0,29,22,2,4
203000000.0,36,19,2,6
203000000.0,19,20,2,1
203000000.0,6,12,2,1
203000000.0,16,13,1,2
203000000.0,3,25,3,4
203000000.0,1,26,2,3
203000000.0,35,20,2,5
203000000.0,10,13,3,2
203000000.0,36,15,3,5
203000000.0,16,24,2,11
203000000.0,14,21,2,4
203000000.0,17,12,3,1
203000000.0,32,25,2,6
203000000.0,20,26,2,9
203000000.0,22,20,2,2
203000000.0,29,21,3,12
203000000.0,11,25,2,7
203000000.0,25,13,0,8
203000000.0,13,16,2,3
203000000.0,15,13,3,1
203000000.0,26,21,2,4
203000000.0,30,12,2,6
203000000.0,19,21,3,1
203000000.0,9,20,2,9
203000000.0,29,15,4,8
204000000.0,6,24,3,11
204000000.0,19,25,4,9
204000000.0,17,18,4,1
204000000.0,34,14,2,7
204000000.0,22,16,3,5
204000000.0,25,22,1,1
204000000.0,9,16,3,3
204000000.0,14,17,3,1
204000000.0,35,13,3,6
204000000.0,24,21,1,4
204000000.0,23,12,3,4
204000000.0,32,18,3,9
204000000.0,15,26,4,8
204000000.0,18,15,3,2
204000000.0,16,24,3,11
204000000.0,1,13,3,5
204000000.0,13,17,3,2
204000000.0,26,24,3,1
204000000.0,8,22,2,6
204000000.0,20,22,3,2
204000000.0,28,21,2,11
204000000.0,21,16,3,3
204000000.0,14,15,4,1
204000000.0,17,21,5,2
204000000.0,9,13,4,1
204000000.0,28,26,3,3
204000000.0,26,18,4,9
204000000.0,10,14,4,1
204000000.0,13,25,4,8
204000000.0,36,12,4,6
204000000.0,19,21,5,1
204000000.0,18,22,4,4
204000000.0,1,13,4,5
204000000.0,34,17,3,6
204000000.0,11,18,4,2
204000000.0,6,12,4,4
204000000.0,31,17,3,5
204000000.0,20,16,4,3
204000000.0,27,26,4,3
204000000.0,29,24,5,5
204000000.0,12,26,3,8
204000000.0,29,17,6,4
205000000.0,11,13,5,1
205000000.0,18,21,5,3
205000000.0,26,20,5,5
205000000.0,19,19,6,4
205000000.0,17,20,6,2
205000000.0,24,15,2,7
205000000.0,35,16,5,2
205000000.0,14,26,5,8
205000000.0,15,15,5,2
205000000.0,30,18,4,9
205000000.0,22,14,4,4
205000000.0,34,24,4,4
205000000.0,25,20,3,3
205000000.0,23,19,4,6
205000000.0,33,18,2,9
205000000.0,10,17,5,1
205000000.0,32,25,5,1
205000000.0,28,21,4,3
205000000.0,21,26,4,10
205000000.0,21,15,5,3
205000000.0,30,17,5,5
205000000.0,25,26,4,1
205000000.0,35,21,6,4
205000000.0,18,19,6,2
205000000.0,20,20,5,3
205000000.0,3,22,5,5
205000000.0,23,19,5,3
205000000.0,14,20,6,10
205000000.0,11,19,6,10
205000000.0,31,14,4,3
205000000.0,1,20,5,6
205000000.0,6,21,6,10
205000000.0,33,21,3,13
205000000.0,29,22,7,2
205000000.0,17,24,7,10
205000000.0,4,20,4,9
205000000.0,36,18,5,6
205000000.0,12,25,5,7
205000000.0,6,19,7,11
205000000.0,32,20,6,11
