sts,src,dest,seqn
221000000.0,18,14,0
221000000.0,19,19,0
221000000.0,3,15,0
221000000.0,10,20,0
221000000.0,29,13,0
221000000.0,7,25,0
221000000.0,32,15,0
222000000.0,6,24,0
222000000.0,1,19,0
222000000.0,30,24,0
222000000.0,23,13,0
222000000.0,24,17,0
222000000.0,11,23,0
222000000.0,34,26,0
222000000.0,22,19,0
222000000.0,25,12,0
222000000.0,36,26,0
222000000.0,16,26,0
222000000.0,17,22,0
222000000.0,4,21,0
222000000.0,27,25,0
222000000.0,31,23,0
222000000.0,12,26,0
222000000.0,26,20,0
222000000.0,35,12,0
222000000.0,14,24,0
222000000.0,9,18,0
222000000.0,20,23,0
222000000.0,24,12,1
222000000.0,17,20,1
222000000.0,13,16,0
222000000.0,2,22,0
222000000.0,16,14,1
222000000.0,6,17,1
222000000.0,31,20,1
222000000.0,18,26,1
222000000.0,21,20,0
222000000.0,19,18,1
222000000.0,9,20,1
222000000.0,28,19,0
222000000.0,23,13,1
222000000.0,29,20,1
222000000.0,3,19,1
222000000.0,32,18,1
222000000.0,1,12,1
222000000.0,36,18,1
222000000.0,22,17,1
222000000.0,14,18,1
222000000.0,27,14,1
222000000.0,26,24,1
222000000.0,9,17,2
222000000.0,21,20,1
222000000.0,6,26,2
223000000.0,13,26,1
223000000.0,10,12,1
223000000.0,14,13,2
223000000.0,2,13,1
223000000.0,22,21,2
223000000.0,1,13,2
223000000.0,20,19,1
223000000.0,23,13,2
223000000.0,7,23,1
223000000.0,36,23,2
223000000.0,18,19,2
223000000.0,16,25,2
223000000.0,30,26,1
223000000.0,11,22,1
223000000.0,33,20,0
223000000.0,3,26,2
223000000.0,8,25,0
223000000.0,29,15,2
223000000.0,32,22,2
223000000.0,19,24,2
223000000.0,15,24,0
223000000.0,4,24,1
223000000.0,28,22,1
223000000.0,12,24,1
223000000.0,6,17,3
223000000.0,24,15,2
223000000.0,14,16,3
223000000.0,36,21,3
223000000.0,12,23,2
223000000.0,23,19,3
223000000.0,13,24,2
223000000.0,32,21,3
223000000.0,2,20,2
223000000.0,19,20,3
223000000.0,28,12,2
223000000.0,9,15,3
223000000.0,18,26,3
223000000.0,4,13,2
223000000.0,16,25,3
223000000.0,31,22,2
223000000.0,22,26,3
223000000.0,20,13,2
223000000.0,15,18,1
223000000.0,34,16,1
223000000.0,21,16,2
223000000.0,7,16,2
223000000.0,27,19,2
223000000.0,33,17,1
223000000.0,8,22,1
223000000.0,29,26,3
223000000.0,13,12,3
223000000.0,17,20,2
223000000.0,24,24,3
223000000.0,10,23,2
223000000.0,11,17,2
224000000.0,9,21,4
224000000.0,18,12,4
224000000.0,20,20,3
224000000.0,22,12,4
224000000.0,21,19,3
224000000.0,23,26,4
224000000.0,8,15,2
224000000.0,3,15,3
224000000.0,25,20,1
224000000.0,29,21,4
