rts,src,dest,seqn,hops
121000000.0,24,12,0,3
122000000.0,8,25,0,4
122000000.0,36,15,0,4
122000000.0,10,13,0,2
122000000.0,30,14,0,5
122000000.0,21,12,0,3
122000000.0,6,24,0,4
122000000.0,18,20,0,2
122000000.0,12,12,0,2
122000000.0,34,21,0,7
122000000.0,27,22,0,1
122000000.0,1,24,0,4
122000000.0,17,16,0,1
122000000.0,11,20,1,2
122000000.0,15,24,1,6
122000000.0,32,20,1,5
122000000.0,10,14,1,1
122000000.0,18,23,1,5
122000000.0,4,14,1,2
122000000.0,20,21,0,1
122000000.0,1,14,1,3
122000000.0,23,12,1,5
122000000.0,36,15,1,3
122000000.0,8,14,1,2
122000000.0,2,22,0,3
122000000.0,13,19,0,3
122000000.0,28,19,0,4
122000000.0,26,22,1,1
122000000.0,35,13,1,3
122000000.0,22,22,1,2
122000000.0,17,21,1,2
122000000.0,30,16,1,4
122000000.0,9,22,1,5
122000000.0,21,14,1,3
122000000.0,14,24,0,6
122000000.0,25,12,0,5
122000000.0,24,25,1,1
122000000.0,19,21,0,1
122000000.0,34,16,1,4
122000000.0,31,16,0,3
123000000.0,23,17,2,4
123000000.0,14,22,1,5
123000000.0,12,24,1,6
123000000.0,15,17,2,1
123000000.0,31,18,1,5
123000000.0,22,15,2,4
123000000.0,1,19,2,5
123000000.0,25,16,1,5
123000000.0,8,18,2,3
123000000.0,33,16,1,4
123000000.0,17,25,2,6
123000000.0,20,21,1,1
123000000.0,5,24,2,2
123000000.0,26,14,2,5
123000000.0,30,22,2,8
123000000.0,9,19,2,3
123000000.0,16,16,2,2
123000000.0,34,22,2,8
123000000.0,27,14,1,5
123000000.0,19,21,1,1
123000000.0,7,19,1,4
123000000.0,18,16,2,2
123000000.0,28,16,1,6
123000000.0,35,17,2,4
123000000.0,21,19,2,1
123000000.0,3,20,1,4
123000000.0,34,16,3,6
123000000.0,31,26,2,1
123000000.0,22,24,3,1
123000000.0,25,24,2,1
123000000.0,1,22,3,7
123000000.0,15,18,3,3
123000000.0,32,14,2,2
123000000.0,26,25,3,1
123000000.0,18,19,3,1
123000000.0,19,24,2,3
123000000.0,4,24,3,6
123000000.0,5,20,3,4
123000000.0,29,15,1,5
123000000.0,12,25,2,7
123000000.0,28,18,2,8
123000000.0,35,15,3,3
123000000.0,27,23,2,7
123000000.0,36,21,2,7
124000000.0,10,25,3,4
124000000.0,22,12,4,5
124000000.0,6,19,2,4
124000000.0,8,16,4,3
124000000.0,26,12,4,5
124000000.0,9,18,3,3
124000000.0,5,18,4,4
124000000.0,19,17,3,1
124000000.0,15,20,4,3
124000000.0,12,21,3,4
124000000.0,1,19,4,5
124000000.0,20,15,2,2
124000000.0,16,13,4,2
124000000.0,29,14,2,6
124000000.0,7,25,3,5
124000000.0,32,26,3,1
124000000.0,28,25,3,1
124000000.0,35,12,4,3
124000000.0,24,26,2,1
124000000.0,23,24,4,1
124000000.0,30,19,3,8
124000000.0,11,22,2,7
124000000.0,34,21,4,7
124000000.0,22,20,5,2
