sts,src,dest,seqn
141000000.0,15,20,0
141000000.0,29,14,0
141000000.0,21,25,0
141000000.0,26,13,0
141000000.0,6,25,0
141000000.0,32,15,0
142000000.0,11,24,0
142000000.0,4,19,0
142000000.0,23,23,0
142000000.0,5,17,0
142000000.0,25,19,0
142000000.0,36,26,0
142000000.0,19,20,0
142000000.0,12,16,0
142000000.0,7,14,0
142000000.0,8,18,0
142000000.0,2,16,0
142000000.0,1,13,0
142000000.0,20,12,0
142000000.0,13,18,0
142000000.0,18,20,0
142000000.0,22,14,0
142000000.0,31,21,0
142000000.0,14,19,0
142000000.0,16,12,0
142000000.0,9,20,0
142000000.0,27,21,0
142000000.0,35,20,0
142000000.0,7,12,1
142000000.0,8,21,1
142000000.0,14,23,1
142000000.0,6,24,1
142000000.0,28,17,0
142000000.0,34,22,0
142000000.0,25,16,1
142000000.0,15,20,1
142000000.0,22,14,1
142000000.0,27,19,1
142000000.0,10,25,0
142000000.0,21,19,1
142000000.0,23,18,1
142000000.0,1,22,1
142000000.0,30,13,0
142000000.0,9,26,1
142000000.0,11,16,1
142000000.0,2,22,1
142000000.0,4,25,1
142000000.0,20,25,1
142000000.0,12,25,1
142000000.0,33,17,0
142000000.0,29,21,1
142000000.0,19,22,1
142000000.0,5,19,1
142000000.0,35,24,1
142000000.0,32,22,1
142000000.0,31,16,1
142000000.0,10,12,1
142000000.0,4,24,2
143000000.0,6,25,2
143000000.0,35,20,2
143000000.0,22,16,2
143000000.0,16,22,1
143000000.0,20,12,2
143000000.0,1,17,2
143000000.0,21,23,2
143000000.0,7,14,2
143000000.0,23,26,2
143000000.0,26,20,1
143000000.0,14,15,2
143000000.0,5,26,2
143000000.0,2,20,2
143000000.0,33,22,1
143000000.0,32,22,2
143000000.0,15,16,2
143000000.0,30,14,1
143000000.0,9,17,2
143000000.0,11,20,2
143000000.0,29,22,2
143000000.0,3,14,0
143000000.0,36,18,1
143000000.0,13,14,1
143000000.0,34,15,1
143000000.0,31,18,2
143000000.0,17,17,0
143000000.0,12,25,2
143000000.0,24,17,0
143000000.0,3,21,1
143000000.0,15,15,3
143000000.0,31,23,3
143000000.0,34,16,2
143000000.0,18,23,1
143000000.0,13,25,2
143000000.0,17,13,1
143000000.0,25,15,2
143000000.0,26,24,2
143000000.0,14,21,3
143000000.0,19,24,2
143000000.0,32,21,3
143000000.0,36,12,2
143000000.0,2,16,3
143000000.0,21,17,3
143000000.0,35,14,3
143000000.0,8,14,2
143000000.0,9,25,3
143000000.0,23,25,3
143000000.0,29,24,3
143000000.0,4,14,3
143000000.0,28,14,1
143000000.0,22,16,3
143000000.0,30,20,2
143000000.0,33,25,2
143000000.0,12,21,3
143000000.0,20,22,3
143000000.0,29,17,4
143000000.0,7,14,3
143000000.0,23,18,4
143000000.0,30,17,3
144000000.0,16,24,2
144000000.0,26,15,3
144000000.0,10,26,2
144000000.0,27,19,2
144000000.0,14,12,4
144000000.0,1,20,3
144000000.0,21,17,4
144000000.0,36,21,3
144000000.0,32,18,4
144000000.0,19,20,3
144000000.0,35,14,4
144000000.0,5,23,3
144000000.0,3,22,2
