rts,src,dest,seqn,hops
141000000.0,4,14,0,2
141000000.0,5,20,0,5
142000000.0,14,14,0,2
142000000.0,34,26,0,1
142000000.0,9,20,0,4
142000000.0,15,15,0,2
142000000.0,3,25,0,3
142000000.0,21,14,0,4
142000000.0,11,25,0,4
142000000.0,22,25,0,1
142000000.0,8,26,0,5
142000000.0,12,21,0,4
142000000.0,27,12,0,6
142000000.0,32,14,0,2
142000000.0,25,19,0,6
142000000.0,28,19,0,7
142000000.0,24,26,0,1
142000000.0,7,15,0,2
142000000.0,12,17,1,1
142000000.0,19,12,0,4
142000000.0,33,26,1,1
142000000.0,35,15,1,4
142000000.0,2,12,1,3
142000000.0,7,21,1,5
142000000.0,6,13,1,2
142000000.0,21,19,1,1
142000000.0,13,12,0,2
142000000.0,4,22,1,8
142000000.0,3,13,1,3
142000000.0,15,12,1,2
142000000.0,17,12,0,2
142000000.0,22,24,1,1
142000000.0,9,14,1,1
142000000.0,34,13,1,4
142000000.0,19,13,1,3
142000000.0,2,20,2,5
142000000.0,8,20,2,4
143000000.0,31,25,2,1
143000000.0,18,19,1,1
143000000.0,30,14,0,3
143000000.0,33,16,2,6
143000000.0,7,21,2,5
143000000.0,10,14,1,1
143000000.0,4,21,2,5
143000000.0,29,25,1,2
143000000.0,21,12,2,4
143000000.0,16,20,0,3
143000000.0,34,12,2,5
143000000.0,20,19,0,1
143000000.0,9,17,2,1
143000000.0,6,17,2,2
143000000.0,28,17,2,6
143000000.0,17,20,1,2
143000000.0,13,23,1,8
143000000.0,15,21,2,4
143000000.0,22,19,2,9
143000000.0,3,18,2,5
143000000.0,9,18,3,3
143000000.0,14,13,2,1
143000000.0,31,26,3,2
143000000.0,8,17,3,1
143000000.0,30,26,1,1
143000000.0,36,25,1,8
143000000.0,16,21,1,5
143000000.0,10,16,2,1
143000000.0,18,14,2,4
143000000.0,11,16,2,2
143000000.0,13,13,2,2
143000000.0,20,14,1,4
143000000.0,17,15,2,1
143000000.0,19,16,2,2
143000000.0,35,21,2,6
143000000.0,3,18,3,4
143000000.0,4,15,3,2
143000000.0,12,26,3,7
143000000.0,9,17,4,1
143000000.0,36,12,2,3
143000000.0,10,17,3,1
143000000.0,7,16,3,1
144000000.0,15,22,3,6
144000000.0,11,20,3,3
144000000.0,22,24,4,1
144000000.0,6,15,3,3
144000000.0,17,13,3,1
