sts,src,dest,seqn
141000000.0,4,14,0
141000000.0,5,20,0
141000000.0,34,26,0
141000000.0,14,14,0
142000000.0,6,17,0
142000000.0,9,20,0
142000000.0,21,14,0
142000000.0,22,25,0
142000000.0,15,15,0
142000000.0,3,25,0
142000000.0,11,25,0
142000000.0,8,26,0
142000000.0,10,23,0
142000000.0,12,21,0
142000000.0,18,24,0
142000000.0,27,12,0
142000000.0,35,15,0
142000000.0,31,16,0
142000000.0,2,25,0
142000000.0,32,14,0
142000000.0,33,17,0
142000000.0,7,15,0
142000000.0,25,19,0
142000000.0,24,26,0
142000000.0,28,19,0
142000000.0,35,15,1
142000000.0,31,13,1
142000000.0,12,17,1
142000000.0,19,12,0
142000000.0,24,17,1
142000000.0,33,26,1
142000000.0,6,13,1
142000000.0,2,12,1
142000000.0,28,19,1
142000000.0,7,21,1
142000000.0,27,23,1
142000000.0,21,19,1
142000000.0,4,22,1
142000000.0,13,12,0
142000000.0,3,13,1
142000000.0,15,12,1
142000000.0,26,14,0
142000000.0,29,19,0
142000000.0,17,12,0
142000000.0,9,14,1
142000000.0,34,13,1
142000000.0,22,24,1
142000000.0,8,26,1
142000000.0,19,13,1
142000000.0,12,24,2
142000000.0,2,20,2
142000000.0,8,20,2
142000000.0,36,23,0
142000000.0,5,24,1
143000000.0,1,24,0
143000000.0,31,25,2
143000000.0,30,14,0
143000000.0,18,19,1
143000000.0,33,16,2
143000000.0,7,21,2
143000000.0,10,14,1
143000000.0,14,24,1
143000000.0,4,21,2
143000000.0,34,12,2
143000000.0,29,25,1
143000000.0,28,17,2
143000000.0,26,18,1
143000000.0,21,12,2
143000000.0,22,19,2
143000000.0,11,24,1
143000000.0,27,20,2
143000000.0,16,20,0
143000000.0,9,17,2
143000000.0,32,18,1
143000000.0,20,19,0
143000000.0,6,17,2
143000000.0,3,18,2
143000000.0,25,17,1
143000000.0,17,20,1
143000000.0,13,23,1
143000000.0,15,21,2
143000000.0,9,18,3
143000000.0,21,25,3
143000000.0,29,18,2
143000000.0,2,12,3
143000000.0,1,13,1
143000000.0,14,13,2
143000000.0,16,21,1
143000000.0,36,25,1
143000000.0,18,14,2
143000000.0,31,26,3
143000000.0,8,17,3
143000000.0,22,18,3
143000000.0,30,26,1
143000000.0,11,16,2
143000000.0,10,16,2
143000000.0,13,13,2
143000000.0,20,14,1
143000000.0,26,18,2
143000000.0,17,15,2
143000000.0,12,26,3
143000000.0,23,16,0
143000000.0,4,15,3
143000000.0,19,16,2
143000000.0,35,21,2
143000000.0,34,21,3
143000000.0,3,18,3
143000000.0,6,15,3
143000000.0,36,12,2
143000000.0,9,17,4
143000000.0,7,16,3
143000000.0,10,17,3
143000000.0,15,22,3
144000000.0,11,20,3
144000000.0,19,23,3
144000000.0,22,24,4
144000000.0,17,13,3
144000000.0,8,15,4
144000000.0,29,24,3
144000000.0,35,19,3
144000000.0,5,21,2
144000000.0,27,18,3
144000000.0,2,25,4
144000000.0,32,17,2
144000000.0,23,26,1
144000000.0,21,14,4
144000000.0,3,15,4
144000000.0,16,13,2
144000000.0,34,18,4
144000000.0,25,26,2
144000000.0,30,18,2
144000000.0,14,15,3
144000000.0,31,16,4
144000000.0,24,24,2
144000000.0,30,26,3
144000000.0,10,19,4
144000000.0,13,20,3
144000000.0,5,24,3
144000000.0,26,19,3
144000000.0,2,21,5
144000000.0,36,26,3
144000000.0,28,13,3
144000000.0,29,15,4
144000000.0,9,24,5
144000000.0,27,21,4
144000000.0,16,24,3
144000000.0,24,12,3
144000000.0,35,23,4
144000000.0,12,16,4
144000000.0,18,24,3
144000000.0,31,20,5
144000000.0,34,12,5
144000000.0,22,12,5
144000000.0,15,16,4
144000000.0,11,23,4
144000000.0,14,12,4
144000000.0,4,12,4
144000000.0,33,12,3
144000000.0,20,23,2
144000000.0,21,22,5
144000000.0,32,20,3
144000000.0,32,15,4
144000000.0,28,16,4
144000000.0,9,13,6
144000000.0,26,26,4
145000000.0,7,21,4
145000000.0,8,26,5
145000000.0,12,19,5
145000000.0,19,14,4
145000000.0,25,13,3
145000000.0,33,25,4
145000000.0,34,22,6
145000000.0,16,26,4
145000000.0,6,16,4
145000000.0,23,26,2
145000000.0,5,20,4
145000000.0,31,18,6
145000000.0,29,15,5
145000000.0,18,21,4
145000000.0,22,18,6
145000000.0,4,13,5
145000000.0,15,18,5
145000000.0,10,21,5
145000000.0,3,24,5
145000000.0,11,12,5
145000000.0,27,25,5
145000000.0,2,16,6
145000000.0,35,18,5
145000000.0,1,25,2
145000000.0,6,15,5
145000000.0,23,23,3
145000000.0,11,20,6
145000000.0,18,19,5
145000000.0,17,12,4
145000000.0,30,22,4
145000000.0,2,15,7
145000000.0,32,15,5
145000000.0,8,13,6
145000000.0,27,23,6
145000000.0,13,23,4
145000000.0,28,25,5
145000000.0,35,18,6
145000000.0,9,14,7
145000000.0,16,22,5
145000000.0,26,16,5
145000000.0,20,18,3
145000000.0,12,20,6
145000000.0,19,16,5
145000000.0,22,12,7
145000000.0,25,17,4
145000000.0,5,14,5
145000000.0,24,26,4
145000000.0,1,21,3
145000000.0,15,15,6
145000000.0,20,14,4
145000000.0,25,14,5
146000000.0,11,22,7
146000000.0,21,20,6
146000000.0,19,14,6
146000000.0,12,17,7
146000000.0,1,23,4
146000000.0,9,22,8
146000000.0,13,19,5
146000000.0,8,22,7
146000000.0,28,23,6
146000000.0,17,14,5
146000000.0,7,22,5
146000000.0,24,17,5
146000000.0,18,18,6
146000000.0,14,21,5
146000000.0,26,14,6
146000000.0,3,20,6
146000000.0,2,17,8
146000000.0,6,15,6
146000000.0,32,25,6
146000000.0,23,16,4
146000000.0,30,22,5
146000000.0,36,12,4
146000000.0,5,16,6
146000000.0,16,20,6
146000000.0,35,15,7
146000000.0,28,23,7
146000000.0,34,13,7
146000000.0,31,21,7
146000000.0,5,15,7
146000000.0,9,21,9
146000000.0,25,23,6
146000000.0,22,23,8
146000000.0,15,20,7
146000000.0,23,13,5
146000000.0,18,15,7
146000000.0,8,23,8
146000000.0,36,20,5
146000000.0,20,24,5
146000000.0,10,25,6
146000000.0,6,12,7
146000000.0,12,26,8
146000000.0,19,16,7
146000000.0,1,21,5
146000000.0,13,20,6
146000000.0,16,16,7
146000000.0,21,20,7
146000000.0,33,17,5
146000000.0,17,16,6
146000000.0,29,24,6
146000000.0,26,12,7
146000000.0,2,13,9
146000000.0,12,14,9
146000000.0,15,25,8
146000000.0,11,16,8
146000000.0,27,21,7
146000000.0,28,13,8
146000000.0,19,17,8
146000000.0,6,14,8
146000000.0,23,20,6
147000000.0,29,18,7
147000000.0,1,12,6
147000000.0,32,26,7
147000000.0,34,16,8
147000000.0,31,24,8
147000000.0,9,23,10
147000000.0,4,12,6
147000000.0,2,17,10
147000000.0,30,17,6
147000000.0,33,25,6
147000000.0,22,12,9
147000000.0,26,26,8
147000000.0,8,24,9
147000000.0,10,20,7
147000000.0,3,21,7
147000000.0,16,16,8
147000000.0,36,14,6
147000000.0,20,25,6
147000000.0,25,21,7
147000000.0,35,14,8
147000000.0,17,24,7
147000000.0,1,12,7
147000000.0,22,21,10
147000000.0,10,23,8
147000000.0,36,12,7
147000000.0,35,23,9
147000000.0,23,12,7
147000000.0,6,17,9
147000000.0,24,25,6
147000000.0,14,12,6
147000000.0,12,16,10
147000000.0,7,18,6
147000000.0,28,23,9
147000000.0,18,14,8
147000000.0,34,24,9
147000000.0,19,24,9
147000000.0,13,14,7
147000000.0,15,21,9
147000000.0,3,19,8
147000000.0,31,20,9
147000000.0,33,16,7
147000000.0,29,22,8
147000000.0,8,22,10
147000000.0,9,17,11
147000000.0,27,14,8
147000000.0,20,12,7
147000000.0,16,26,9
147000000.0,30,12,7
147000000.0,3,25,9
147000000.0,23,15,8
148000000.0,35,15,10
148000000.0,22,16,11
148000000.0,27,25,9
148000000.0,12,26,11
148000000.0,26,25,9
148000000.0,14,15,7
148000000.0,13,22,8
148000000.0,21,16,8
148000000.0,7,15,7
148000000.0,20,18,8
148000000.0,8,14,11
148000000.0,15,12,10
148000000.0,5,15,8
148000000.0,17,22,8
148000000.0,2,24,11
148000000.0,18,14,9
148000000.0,32,15,8
148000000.0,28,25,10
148000000.0,34,16,10
148000000.0,10,13,9
148000000.0,25,17,8
148000000.0,33,18,8
148000000.0,11,24,9
148000000.0,18,24,10
148000000.0,4,26,7
148000000.0,6,19,10
148000000.0,11,18,10
148000000.0,30,13,8
148000000.0,20,18,9
148000000.0,3,22,10
148000000.0,13,13,9
148000000.0,22,21,12
148000000.0,15,20,11
148000000.0,25,14,9
148000000.0,33,17,9
148000000.0,7,20,8
148000000.0,28,17,11
148000000.0,2,21,12
148000000.0,34,19,11
148000000.0,17,25,9
148000000.0,27,13,10
148000000.0,31,18,10
148000000.0,36,26,8
148000000.0,14,23,8
148000000.0,12,12,12
148000000.0,1,15,8
148000000.0,32,22,9
148000000.0,23,25,9
148000000.0,29,16,9
148000000.0,19,25,10
149000000.0,4,26,8
149000000.0,8,14,12
149000000.0,16,21,10
149000000.0,2,15,13
149000000.0,15,24,12
149000000.0,3,24,11
149000000.0,21,15,9
149000000.0,11,16,11
149000000.0,36,24,9
149000000.0,10,14,10
149000000.0,22,13,13
149000000.0,1,15,9
149000000.0,27,12,11
149000000.0,12,21,13
149000000.0,30,18,9
149000000.0,26,14,10
149000000.0,34,22,12
149000000.0,35,12,11
149000000.0,24,24,7
149000000.0,17,17,10
149000000.0,31,14,11
149000000.0,18,21,11
149000000.0,28,20,12
149000000.0,20,21,10
149000000.0,23,13,10
149000000.0,33,23,10
149000000.0,25,23,10
149000000.0,32,24,10
149000000.0,19,19,11
149000000.0,6,18,11
149000000.0,32,14,11
149000000.0,19,26,12
149000000.0,15,25,13
149000000.0,1,25,10
149000000.0,36,13,10
149000000.0,12,16,14
149000000.0,14,15,9
149000000.0,35,23,12
149000000.0,29,26,10
149000000.0,5,19,9
149000000.0,26,16,11
149000000.0,21,13,10
149000000.0,28,16,13
149000000.0,20,13,11
149000000.0,25,19,11
149000000.0,27,14,12
149000000.0,33,14,11
149000000.0,22,21,14
149000000.0,4,15,9
149000000.0,16,19,11
149000000.0,31,22,12
149000000.0,24,25,8
149000000.0,9,14,12
149000000.0,23,15,11
149000000.0,11,22,12
149000000.0,17,14,11
149000000.0,2,22,14
149000000.0,3,26,12
149000000.0,34,25,13
149000000.0,22,25,15
149000000.0,15,14,14
149000000.0,4,24,10
149000000.0,24,22,9
149000000.0,16,24,12
149000000.0,36,17,11
150000000.0,28,17,14
150000000.0,32,25,12
150000000.0,35,12,13
150000000.0,33,23,12
150000000.0,20,25,12
150000000.0,26,15,12
150000000.0,3,13,13
150000000.0,31,18,13
150000000.0,27,16,13
150000000.0,25,14,12
150000000.0,34,13,14
150000000.0,17,21,12
150000000.0,18,14,12
150000000.0,11,16,13
150000000.0,30,14,10
150000000.0,2,26,15
150000000.0,9,22,13
150000000.0,21,14,11
150000000.0,2,23,16
150000000.0,18,24,13
150000000.0,7,15,9
150000000.0,17,13,13
150000000.0,6,16,12
150000000.0,14,20,10
150000000.0,3,16,14
150000000.0,5,16,10
150000000.0,35,20,14
150000000.0,36,25,12
150000000.0,1,12,11
150000000.0,15,20,15
150000000.0,32,22,13
150000000.0,4,26,11
150000000.0,34,15,15
150000000.0,27,18,14
150000000.0,23,12,12
150000000.0,24,16,10
150000000.0,33,20,13
150000000.0,20,22,13
150000000.0,21,16,12
150000000.0,22,21,16
150000000.0,29,18,11
150000000.0,11,22,14
