sts,src,dest,seqn
121000000.0,2,24,0
121000000.0,26,19,0
121000000.0,15,21,0
121000000.0,21,20,0
121000000.0,36,23,0
122000000.0,22,19,0
122000000.0,4,20,0
122000000.0,10,14,0
122000000.0,35,13,0
122000000.0,12,21,0
122000000.0,19,14,0
122000000.0,8,19,0
122000000.0,34,16,0
122000000.0,33,17,0
122000000.0,3,18,0
122000000.0,5,16,0
122000000.0,7,15,0
122000000.0,32,14,0
122000000.0,1,18,0
122000000.0,20,21,0
122000000.0,24,22,0
122000000.0,14,13,0
122000000.0,6,15,0
122000000.0,25,13,0
122000000.0,16,14,0
122000000.0,28,21,0
122000000.0,18,13,0
122000000.0,27,16,0
122000000.0,19,22,1
122000000.0,35,19,1
122000000.0,32,20,1
122000000.0,16,13,1
122000000.0,23,19,0
122000000.0,25,16,1
122000000.0,2,12,1
122000000.0,22,13,1
122000000.0,29,13,0
122000000.0,31,22,0
122000000.0,15,17,1
122000000.0,18,24,1
122000000.0,14,20,1
122000000.0,5,12,1
122000000.0,34,12,1
122000000.0,33,24,1
122000000.0,9,25,0
122000000.0,36,25,1
122000000.0,20,12,1
122000000.0,8,24,1
122000000.0,26,21,1
122000000.0,1,20,1
122000000.0,12,17,1
122000000.0,4,26,1
122000000.0,10,18,1
122000000.0,32,12,2
122000000.0,11,12,0
123000000.0,9,24,1
123000000.0,21,24,1
123000000.0,31,22,1
123000000.0,36,17,2
123000000.0,26,23,2
123000000.0,30,20,0
123000000.0,6,22,1
123000000.0,4,19,2
123000000.0,20,24,2
123000000.0,23,12,1
123000000.0,28,26,1
123000000.0,10,16,2
123000000.0,14,24,2
123000000.0,24,26,1
123000000.0,19,26,2
123000000.0,13,14,0
123000000.0,29,24,1
123000000.0,22,24,2
123000000.0,1,12,2
123000000.0,5,23,2
123000000.0,34,21,2
123000000.0,12,15,2
123000000.0,2,14,2
123000000.0,18,12,2
123000000.0,17,26,0
123000000.0,7,12,1
123000000.0,15,15,2
123000000.0,15,17,3
123000000.0,24,18,2
123000000.0,31,13,2
123000000.0,5,23,3
123000000.0,34,14,3
123000000.0,25,20,2
123000000.0,14,18,3
123000000.0,9,12,2
123000000.0,12,22,3
123000000.0,33,26,2
123000000.0,26,23,3
123000000.0,23,16,2
123000000.0,8,23,2
123000000.0,18,26,3
123000000.0,13,14,1
123000000.0,4,25,3
123000000.0,3,22,1
123000000.0,6,12,2
123000000.0,17,22,1
123000000.0,2,13,3
123000000.0,1,13,3
123000000.0,11,17,1
123000000.0,7,25,2
123000000.0,27,23,1
123000000.0,36,16,3
124000000.0,29,18,2
124000000.0,14,17,4
124000000.0,3,17,2
124000000.0,21,21,2
124000000.0,25,26,3
124000000.0,17,25,2
124000000.0,15,12,4
124000000.0,27,12,2
124000000.0,2,13,4
124000000.0,1,21,4
124000000.0,4,21,4
124000000.0,5,25,4
124000000.0,23,26,3
124000000.0,33,26,3
124000000.0,11,24,2
124000000.0,34,19,4
124000000.0,12,19,4
124000000.0,20,22,3
124000000.0,31,26,3
124000000.0,26,14,4
124000000.0,19,21,3
124000000.0,36,15,4
124000000.0,32,16,3
124000000.0,29,26,3
