rts,src,dest,seqn,hops
141000000.0,33,26,0,1
141000000.0,18,14,0,4
141000000.0,11,21,0,4
141000000.0,34,22,0,3
142000000.0,5,15,0,3
142000000.0,30,24,0,2
142000000.0,21,20,0,1
142000000.0,31,18,0,7
142000000.0,10,17,0,1
142000000.0,32,23,0,3
142000000.0,27,26,0,1
142000000.0,7,16,0,1
142000000.0,25,25,0,2
142000000.0,14,21,0,5
142000000.0,9,12,0,1
142000000.0,20,24,1,7
142000000.0,25,15,1,5
142000000.0,16,23,1,5
142000000.0,2,19,1,4
142000000.0,36,24,1,4
142000000.0,11,21,1,3
142000000.0,22,25,0,1
142000000.0,29,12,1,5
142000000.0,34,18,1,7
142000000.0,28,17,1,7
142000000.0,6,23,1,3
142000000.0,13,15,1,1
142000000.0,7,16,1,1
142000000.0,3,20,1,5
142000000.0,26,24,0,1
142000000.0,19,26,0,7
142000000.0,15,22,0,5
142000000.0,24,19,0,7
142000000.0,10,13,1,2
142000000.0,21,15,1,3
142000000.0,32,24,1,5
142000000.0,12,26,1,6
142000000.0,3,26,2,4
142000000.0,20,16,2,4
142000000.0,33,22,1,2
142000000.0,22,16,1,6
142000000.0,11,23,2,5
142000000.0,32,19,2,6
143000000.0,14,13,1,1
143000000.0,31,25,1,1
143000000.0,23,24,2,1
143000000.0,13,24,2,6
143000000.0,35,20,1,5
143000000.0,5,21,1,6
143000000.0,15,24,1,6
143000000.0,6,18,2,6
143000000.0,10,14,2,1
143000000.0,30,17,1,7
143000000.0,2,17,2,4
143000000.0,17,16,1,3
143000000.0,1,16,0,4
143000000.0,34,15,2,3
143000000.0,21,24,2,8
143000000.0,8,15,0,1
143000000.0,25,17,2,7
143000000.0,24,16,1,7
143000000.0,18,19,1,1
143000000.0,26,18,1,9
143000000.0,1,20,1,4
143000000.0,8,24,1,4
143000000.0,14,24,2,3
143000000.0,27,13,2,5
143000000.0,6,17,3,2
143000000.0,36,24,2,4
143000000.0,10,23,3,6
143000000.0,17,25,2,6
143000000.0,32,24,3,1
143000000.0,4,24,3,5
143000000.0,33,18,2,6
143000000.0,30,21,2,8
143000000.0,5,12,2,2
143000000.0,25,16,3,7
143000000.0,34,20,3,7
143000000.0,35,22,2,7
143000000.0,11,19,3,2
143000000.0,24,26,2,1
143000000.0,29,20,3,7
143000000.0,31,12,2,5
143000000.0,20,19,3,1
143000000.0,9,12,1,1
143000000.0,22,13,2,4
143000000.0,13,17,3,1
143000000.0,16,24,3,6
143000000.0,3,18,3,5
143000000.0,23,20,3,6
143000000.0,18,25,2,8
143000000.0,2,19,3,5
143000000.0,31,23,3,1
143000000.0,32,15,4,3
143000000.0,36,23,3,9
143000000.0,4,25,4,5
144000000.0,9,18,2,3
144000000.0,33,24,3,1
144000000.0,12,24,2,7
144000000.0,2,23,4,8
144000000.0,13,14,4,1
144000000.0,7,17,3,4
144000000.0,11,17,4,2
144000000.0,10,23,4,6
144000000.0,20,13,4,2
144000000.0,3,16,4,5
144000000.0,27,14,3,6
144000000.0,34,13,4,5
144000000.0,5,23,3,7
144000000.0,15,24,2,7
144000000.0,8,13,2,1
