rts,src,dest,seqn,hops
46357408,5,6,0,2
48841949,2,7,0,1
52415575,9,8,0,1
52833424,1,2,0,1
54022355,4,5,0,3
55890713,6,1,0,1
56031518,7,9,0,2
56268338,10,2,0,2
59495349,3,4,0,5
59707401,8,3,0,1
77364127,7,3,1,2
77891487,2,1,1,1
79727196,3,8,1,1
80307448,5,4,1,3
81459940,6,5,1,2
81718531,4,9,1,5
82769968,9,2,1,3
83437531,8,7,1,3
87332128,1,3,1,3
89515222,10,1,1,2
106553582,4,5,2,3
109147167,1,5,2,1
109202862,7,1,2,1
109321463,3,8,2,1
112123434,8,9,2,1
115125179,6,9,2,4
117895283,5,2,2,1
119218023,10,7,2,1
120143608,2,3,2,4
120526871,9,4,2,5
136203386,10,1,3,2
137164347,3,8,3,1
137983971,9,1,3,3
138655688,2,9,3,4
142342669,4,7,3,2
143428517,1,5,3,1
146893224,5,2,3,1
149188179,8,9,3,1
149828405,6,1,3,1
149848485,7,10,3,1
167222602,7,10,4,1
170348392,5,10,4,3
171906520,6,9,4,4
172268937,3,2,4,3
173158076,4,9,4,5
173250150,10,9,4,1
175862325,1,3,4,3
176093909,8,7,4,3
176562281,9,7,4,2
177645308,2,3,4,4
196373216,4,7,5,2
197719513,9,9,5,2
197876377,1,9,5,3
201246141,10,4,5,4
202864675,5,2,5,1
202874478,6,9,5,4
209004124,3,10,5,1
209748407,8,7,5,3
210561995,2,7,5,1
211063282,7,9,5,2
227446476,10,8,6,2
228144900,2,3,6,4
229689449,9,9,6,2
230078224,4,1,6,2
230588707,3,4,6,5
230674540,5,2,6,1
232113127,1,3,6,3
258171324,8,1,7,4
262195652,3,8,7,1
262689652,10,9,7,1
264268117,5,2,7,1
264498399,9,9,7,2
265499096,6,7,7,1
269234472,4,1,7,2
269404909,7,7,7,2
270686337,2,7,7,1
288171730,2,1,8,1
291082263,6,3,8,4
292058120,3,4,8,5
292094374,1,7,8,1
296063187,8,9,8,1
297335999,4,5,8,3
299397376,10,5,8,2
300549755,7,3,8,2
316408322,3,9,9,1
318623148,6,7,9,1
321125210,9,9,9,2
321361976,5,2,9,1
322093158,7,7,9,2
325066685,10,10,9,2
325832337,1,3,9,3
326501332,4,9,9,6
327710957,2,5,9,1
329970023,8,9,9,1
346844681,3,9,10,1
347018593,6,3,10,4
349029596,1,7,10,1
349437184,2,7,10,1
349781499,7,9,10,3
349906524,8,9,10,1
351508360,5,8,10,6
352438996,9,9,10,2
352856878,10,6,10,2
358234078,4,1,10,2
379209566,6,5,11,2
384059924,5,4,11,3
385557614,8,4,11,6
386219629,1,9,11,4
386235682,7,1,11,1
386265366,10,1,11,2
388228402,3,8,11,2
388590946,9,7,11,2
407716806,9,1,12,3
407761936,5,6,12,2
408643515,8,2,12,4
410518024,6,1,12,1
413478175,7,8,12,4
414902014,2,4,12,3
417294429,3,6,12,3
418050693,10,2,12,2
420486198,1,2,12,1
437415185,2,8,13,5
437563449,10,9,13,2
438140596,3,6,13,3
438660781,4,10,13,4
439593930,7,9,13,3
442621616,8,4,13,6
444840549,1,4,13,2
449373414,9,7,13,2
450625112,5,7,13,1
451033410,6,9,13,5
467574564,5,1,14,1
467714253,1,4,14,2
468676630,2,2,14,2
473013172,3,6,14,3
473675707,6,3,14,4
474158335,7,9,14,3
476496186,4,4,14,2
477722195,9,9,14,3
477981914,8,6,14,4
478561489,10,7,14,1
497470116,6,9,15,5
497982967,4,6,15,1
498831555,8,2,15,4
501161018,2,10,15,3
503077239,3,6,15,4
503447824,9,8,15,1
505092391,7,9,15,3
505832675,1,2,15,1
506770002,5,3,15,5
508984306,10,6,15,2
527085022,6,5,16,2
528336752,7,5,16,1
531433651,4,4,16,2
532946978,3,8,16,2
533770861,9,2,16,3
536409413,10,10,16,2
536996186,2,4,16,3
538670496,8,6,16,4
540597933,1,10,16,2
540988123,5,3,16,5
558076249,4,6,17,1
559514606,2,10,17,3
559835946,7,5,17,1
559965513,8,4,17,6
561984875,5,1,17,1
567145479,3,3,17,3
568003231,10,10,17,2
568309906,9,4,17,5
569553247,1,5,17,1
570234829,6,1,17,1
591307495,7,4,18,3
591676669,1,3,18,4
597145316,4,2,18,2
597175621,3,3,18,3
597454002,5,1,18,1
599989671,8,2,18,4
600107279,2,10,18,4
600238269,6,3,18,4
601371904,9,4,18,4
617022111,6,5,19,2
617926962,10,5,19,2
619707019,1,3,19,4
624223036,9,10,19,1
625271735,7,5,19,1
625906559,8,2,19,4
626245060,2,4,19,3
627513750,4,6,19,1
629250754,3,7,19,2
630500859,5,7,19,1
647967718,3,7,20,2
648628048,4,10,20,3
651393421,2,2,20,2
652340618,9,4,20,5
654939744,10,9,20,2
655657726,5,9,20,5
658614440,1,3,20,4
659491016,7,5,20,1
