sts,src,dest,seqn
46178758,5,6,0
48561395,2,7,0
51891077,9,8,0
53275584,4,5,0
53303144,1,2,0
55216217,7,9,0
55952288,6,7,0
56366963,10,2,0
59227661,3,4,0
59786419,8,3,0
76513183,7,10,1
76671127,6,5,1
77608270,2,8,1
79962986,3,8,1
80037237,5,4,1
80572459,4,9,1
81999504,9,2,1
83333296,8,7,1
87538488,1,8,1
89602564,10,1,1
105791211,4,5,2
108958036,7,2,2
109556736,3,8,2
110146895,1,2,2
112223901,8,9,2
114913537,2,2,2
117880989,5,2,2
119343255,9,4,2
119516297,10,7,2
120811666,6,1,2
137415210,3,8,3
138132238,1,2,3
138450592,7,8,3
141521963,2,9,3
141608537,6,9,3
141713086,4,7,3
146578579,9,10,3
146866314,5,2,3
147625145,10,2,3
149270795,8,9,3
168108272,1,9,4
168436395,2,7,4
171249163,6,9,4
172172329,9,2,4
172181835,4,9,4
172258911,3,2,4
172960064,5,2,4
173883816,10,10,4
175989546,8,7,4
180224611,7,9,4
197483341,2,5,5
197977565,10,3,5
199447460,4,1,5
199718255,9,8,5
200068488,5,8,5
204826971,1,1,5
204997467,7,8,5
205546038,6,7,5
207673342,3,1,5
209661420,8,7,5
228202021,2,7,6
229412240,5,2,6
230764789,6,3,6
231630151,8,7,6
232498825,1,7,6
233642095,3,9,6
234328272,10,9,6
238505861,7,4,6
238562005,9,8,6
238619334,4,1,6
257547349,9,4,7
257873894,2,9,7
257927046,8,1,7
258500146,10,6,7
258686663,6,9,7
259521913,1,9,7
260647564,5,4,7
260864287,7,3,7
261666210,4,5,7
268438966,3,9,7
285842626,2,5,8
286258815,10,6,8
286657719,3,9,8
286749504,9,2,8
287241313,5,2,8
291200593,7,7,8
293155416,6,7,8
295384960,4,9,8
296145796,8,9,8
296936327,1,5,8
316234894,9,6,9
316702377,6,5,9
317079682,3,5,9
318056835,4,9,9
319139519,2,9,9
325116967,10,3,9
326872469,7,6,9
328599739,5,4,9
330067672,8,9,9
330983219,1,9,9
347906547,10,5,10
348548497,3,9,10
350536554,8,9,10
351358423,2,7,10
354443643,5,2,10
354905229,1,9,10
357603862,4,1,10
359328731,9,4,10
359421191,6,5,10
359881014,7,7,10
378595352,3,1,11
380593066,6,9,11
380859889,1,5,11
380928966,5,6,11
381310120,7,1,11
382280298,2,10,11
384083450,8,3,11
385025738,4,3,11
387937156,9,2,11
389203424,10,1,11
412422175,10,7,12
412922481,9,6,12
413366722,6,3,12
413517247,3,3,12
414022716,5,4,12
416505322,8,1,12
417272117,2,8,12
419278871,7,3,12
420322615,4,7,12
420897049,1,10,12
436314210,3,5,13
436494577,4,1,13
437030653,6,9,13
437631145,5,10,13
438257441,2,10,13
444492118,10,7,13
445075745,7,4,13
445280907,9,2,13
447802199,8,9,13
449882390,1,2,13
465463258,4,5,14
466974876,5,10,14
466999296,6,5,14
469351191,2,10,14
470240797,1,3,14
470532872,3,3,14
473270691,7,4,14
475021021,8,3,14
477124656,9,2,14
478781551,10,7,14
498251620,3,3,15
499858374,1,3,15
501710217,5,6,15
501942823,8,5,15
506256014,7,9,15
506397384,6,8,15
506459615,2,4,15
509078425,10,6,15
510260112,4,5,15
510609980,9,4,15
528162393,5,8,16
528170922,2,7,16
530470371,3,9,16
531411553,8,9,16
531931986,4,1,16
532569829,1,5,16
533231996,7,9,16
533734980,9,4,16
536523368,10,10,16
538241134,6,4,16
559248996,1,3,17
559632440,2,2,17
562392245,3,3,17
564153872,7,6,17
564312158,9,4,17
565478863,4,7,17
565726458,6,4,17
568008966,10,1,17
568397717,5,4,17
568958448,8,1,17
586820149,6,10,18
587677179,8,1,18
591037264,7,6,18
593655906,9,2,18
593795853,1,7,18
595900738,4,3,18
596349892,5,8,18
596860995,3,3,18
597234674,10,3,18
597726191,2,4,18
617217750,1,1,19
617591373,7,4,19
619834616,2,4,19
620849074,8,5,19
621197611,4,5,19
622656550,10,4,19
624085217,5,6,19
625428634,6,4,19
629407870,3,7,19
630391232,9,10,19
647178347,2,4,20
648126622,3,7,20
651984981,9,4,20
654772383,6,6,20
657790218,10,10,20
658369487,4,7,20
658724764,7,4,20
659514602,1,9,20
659678967,5,2,20
659817824,8,9,20
678825746,7,2,21
679537392,5,6,21
680843406,9,4,21
681614698,8,7,21
682898368,10,5,21
683298496,3,7,21
683686497,1,1,21
686416434,4,5,21
687413689,2,4,21
687507498,6,4,21
709687157,9,8,22
710267245,3,7,22
710338237,4,7,22
711833430,8,3,22
715020690,7,8,22
715733352,1,1,22
716562798,10,1,22
717381144,5,4,22
719007440,2,2,22
719101247,6,10,22
739255323,8,9,23
745064121,3,5,23
746944891,1,6,23
747109677,10,10,23
747365867,2,10,23
747366467,5,2,23
748763247,7,6,23
749135112,4,7,23
749672481,9,8,23
750959884,6,10,23
766806987,4,7,24
768724052,8,7,24
769702173,2,7,24
769865799,1,10,24
773208189,7,6,24
774282852,3,3,24
774766231,9,2,24
775803635,6,2,24
778429619,10,10,24
778460219,5,10,24
799165216,10,1,25
801770950,8,9,25
801788960,6,10,25
802874657,9,2,25
803700746,7,8,25
805374049,2,5,25
806353863,4,3,25
809038640,1,8,25
809568643,5,10,25
810704745,3,1,25
826218389,9,2,26
828489679,8,7,26
828647048,1,2,26
830173496,3,3,26
832072614,4,7,26
832395691,7,10,26
833882708,6,8,26
833912394,5,2,26
835828424,10,5,26
837342799,2,7,26
857632391,1,4,27
859453730,9,6,27
861220370,3,7,27
862381014,7,3,27
862991133,6,4,27
866161574,8,3,27
868639673,2,1,27
869147716,5,8,27
870244488,4,3,27
870437800,10,6,27
886047481,9,6,28
887561479,1,5,28
891858422,2,9,28
892130303,8,3,28
894213238,4,1,28
895334886,6,4,28
897099893,5,2,28
897856996,7,8,28
898939121,3,3,28
899531548,10,6,28
